X,CellID,Batch,Annotation,cell_id
CELL.1,CELL.1,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1
CELL.2,CELL.2,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2
CELL.3,CELL.3,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,3
CELL.4,CELL.4,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,4
CELL.5,CELL.5,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,5
CELL.6,CELL.6,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,6
CELL.7,CELL.7,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,7
CELL.8,CELL.8,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,8
CELL.9,CELL.9,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,9
CELL.10,CELL.10,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,10
CELL.11,CELL.11,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,11
CELL.12,CELL.12,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,12
CELL.13,CELL.13,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,13
CELL.14,CELL.14,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,14
CELL.15,CELL.15,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,15
CELL.17,CELL.17,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,17
CELL.18,CELL.18,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,18
CELL.20,CELL.20,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,20
CELL.21,CELL.21,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,21
CELL.22,CELL.22,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,22
CELL.23,CELL.23,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,23
CELL.24,CELL.24,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,24
CELL.25,CELL.25,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,25
CELL.26,CELL.26,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,26
CELL.27,CELL.27,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,27
CELL.28,CELL.28,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,28
CELL.29,CELL.29,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,29
CELL.30,CELL.30,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,30
CELL.31,CELL.31,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,31
CELL.32,CELL.32,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,32
CELL.33,CELL.33,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,33
CELL.34,CELL.34,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,34
CELL.35,CELL.35,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,35
CELL.36,CELL.36,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,36
CELL.37,CELL.37,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,37
CELL.38,CELL.38,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,38
CELL.39,CELL.39,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,39
CELL.40,CELL.40,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,40
CELL.41,CELL.41,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,41
CELL.42,CELL.42,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,42
CELL.43,CELL.43,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,43
CELL.44,CELL.44,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,44
CELL.45,CELL.45,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,45
CELL.47,CELL.47,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,47
CELL.48,CELL.48,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,48
CELL.49,CELL.49,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,49
CELL.50,CELL.50,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,50
CELL.51,CELL.51,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,51
CELL.53,CELL.53,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,53
CELL.54,CELL.54,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,54
CELL.55,CELL.55,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,55
CELL.57,CELL.57,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,57
CELL.60,CELL.60,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,60
CELL.61,CELL.61,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,61
CELL.62,CELL.62,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,62
CELL.63,CELL.63,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,63
CELL.67,CELL.67,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,67
CELL.68,CELL.68,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,68
CELL.69,CELL.69,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,69
CELL.71,CELL.71,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,71
CELL.72,CELL.72,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,72
CELL.74,CELL.74,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,74
CELL.75,CELL.75,Batch1_Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,75
