CellID,Batch,Annotation,cell_id,Annotation_0305
CELL.1,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,1,VLMC
CELL.2,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,2,VLMC
CELL.3,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,3,VLMC
CELL.4,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,4,VLMC
CELL.5,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,5,VLMC
CELL.6,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,6,VLMC
CELL.7,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,7,VLMC
CELL.8,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,8,VLMC
CELL.9,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,9,VLMC
CELL.10,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,10,VLMC
CELL.11,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,11,VLMC
CELL.12,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,12,VLMC
CELL.13,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,13,VLMC
CELL.14,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,14,VLMC
CELL.15,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,15,VLMC
CELL.17,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,17,VLMC
CELL.18,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,18,VLMC
CELL.20,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,20,VLMC
CELL.21,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,21,VLMC
CELL.22,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,22,VLMC
CELL.23,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,23,VLMC
CELL.24,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,24,VLMC
CELL.25,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,25,VLMC
CELL.26,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,26,VLMC
CELL.27,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,27,VLMC
CELL.28,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,28,VLMC
CELL.29,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,29,VLMC
CELL.30,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,30,VLMC
CELL.31,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,31,VLMC
CELL.32,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,32,VLMC
CELL.33,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,33,VLMC
CELL.34,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,34,VLMC
CELL.35,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,35,VLMC
CELL.36,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,36,VLMC
CELL.37,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,37,VLMC
CELL.38,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,38,VLMC
CELL.39,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,39,VLMC
CELL.40,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,40,VLMC
CELL.41,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,41,VLMC
CELL.42,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,42,VLMC
CELL.43,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,43,VLMC
CELL.44,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,44,VLMC
CELL.45,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,45,VLMC
CELL.47,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,47,VLMC
CELL.48,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,48,VLMC
CELL.49,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,49,VLMC
CELL.50,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,50,VLMC
CELL.51,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,51,VLMC
CELL.53,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,53,VLMC
CELL.54,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,54,VLMC
CELL.55,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,55,VLMC
CELL.57,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,57,VLMC
CELL.60,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,60,VLMC
CELL.61,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,61,VLMC
CELL.62,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,62,VLMC
CELL.63,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,63,VLMC
CELL.67,Adult_telencephalon_rep2_DP8400015234BLA3_1,VLMC,67,VLMC
