,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.2,CELL.2,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,2,4,VLMC
CELL.3,CELL.3,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,3,11,VLMC
CELL.5,CELL.5,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,5,11,VLMC
CELL.6,CELL.6,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,6,4,VLMC
CELL.7,CELL.7,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,7,11,VLMC
CELL.8,CELL.8,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,8,4,VLMC
CELL.9,CELL.9,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,9,4,MCG
CELL.10,CELL.10,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,10,4,VLMC
CELL.11,CELL.11,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,11,11,VLMC
CELL.12,CELL.12,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,12,4,VLMC
CELL.13,CELL.13,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,13,4,VLMC
CELL.14,CELL.14,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,14,4,VLMC
CELL.15,CELL.15,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,15,4,VLMC
CELL.16,CELL.16,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,16,4,VLMC
CELL.17,CELL.17,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,17,4,VLMC
CELL.18,CELL.18,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,18,12,VLMC
CELL.19,CELL.19,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,19,4,VLMC
CELL.20,CELL.20,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,20,4,VLMC
CELL.21,CELL.21,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,21,4,VLMC
CELL.24,CELL.24,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,24,12,VLMC
CELL.25,CELL.25,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,25,12,VLMC
CELL.26,CELL.26,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,26,4,VLMC
CELL.27,CELL.27,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,27,4,VLMC
CELL.28,CELL.28,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,28,11,VLMC
CELL.30,CELL.30,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,30,4,VLMC
CELL.31,CELL.31,5,Meta_telencephalon_rep1_DP8400015234BLB2_1,31,4,VLMC
CELL.32,CELL.32,8,Meta_telencephalon_rep1_DP8400015234BLB2_1,32,4,MCG
