,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.1,CELL.1,2,Stage44_telencephalon_rep2_FP200000239BL_E4,1,3,Immature NPTXEX
CELL.3,CELL.3,2,Stage44_telencephalon_rep2_FP200000239BL_E4,3,3,Immature NPTXEX
CELL.4,CELL.4,2,Stage44_telencephalon_rep2_FP200000239BL_E4,4,6,VLMC
CELL.6,CELL.6,2,Stage44_telencephalon_rep2_FP200000239BL_E4,6,4,CP
CELL.8,CELL.8,4,Stage44_telencephalon_rep2_FP200000239BL_E4,8,3,Immature NPTXEX
CELL.9,CELL.9,1,Stage44_telencephalon_rep2_FP200000239BL_E4,9,1,DNBL1
CELL.11,CELL.11,4,Stage44_telencephalon_rep2_FP200000239BL_E4,11,3,Immature NPTXEX
CELL.12,CELL.12,2,Stage44_telencephalon_rep2_FP200000239BL_E4,12,6,VLMC
CELL.14,CELL.14,4,Stage44_telencephalon_rep2_FP200000239BL_E4,14,3,Immature NPTXEX
CELL.17,CELL.17,4,Stage44_telencephalon_rep2_FP200000239BL_E4,17,3,Immature NPTXEX
CELL.19,CELL.19,2,Stage44_telencephalon_rep2_FP200000239BL_E4,19,6,VLMC
CELL.20,CELL.20,2,Stage44_telencephalon_rep2_FP200000239BL_E4,20,6,VLMC
CELL.21,CELL.21,4,Stage44_telencephalon_rep2_FP200000239BL_E4,21,3,Immature NPTXEX
CELL.25,CELL.25,2,Stage44_telencephalon_rep2_FP200000239BL_E4,25,1,Immature MSN
CELL.29,CELL.29,2,Stage44_telencephalon_rep2_FP200000239BL_E4,29,3,Immature NPTXEX
CELL.30,CELL.30,1,Stage44_telencephalon_rep2_FP200000239BL_E4,30,1,Immature MSN
CELL.31,CELL.31,4,Stage44_telencephalon_rep2_FP200000239BL_E4,31,3,Immature NPTXEX
CELL.34,CELL.34,4,Stage44_telencephalon_rep2_FP200000239BL_E4,34,3,Immature NPTXEX
CELL.35,CELL.35,2,Stage44_telencephalon_rep2_FP200000239BL_E4,35,6,VLMC
CELL.36,CELL.36,2,Stage44_telencephalon_rep2_FP200000239BL_E4,36,6,VLMC
CELL.37,CELL.37,2,Stage44_telencephalon_rep2_FP200000239BL_E4,37,3,DNBL1
CELL.38,CELL.38,2,Stage44_telencephalon_rep2_FP200000239BL_E4,38,6,VLMC
CELL.41,CELL.41,1,Stage44_telencephalon_rep2_FP200000239BL_E4,41,1,Immature MSN
CELL.42,CELL.42,1,Stage44_telencephalon_rep2_FP200000239BL_E4,42,1,Immature MSN
CELL.43,CELL.43,1,Stage44_telencephalon_rep2_FP200000239BL_E4,43,1,Immature MSN
CELL.47,CELL.47,1,Stage44_telencephalon_rep2_FP200000239BL_E4,47,1,Immature MSN
CELL.49,CELL.49,4,Stage44_telencephalon_rep2_FP200000239BL_E4,49,3,Immature NPTXEX
CELL.51,CELL.51,4,Stage44_telencephalon_rep2_FP200000239BL_E4,51,3,Immature NPTXEX
CELL.53,CELL.53,4,Stage44_telencephalon_rep2_FP200000239BL_E4,53,3,Immature NPTXEX
CELL.55,CELL.55,2,Stage44_telencephalon_rep2_FP200000239BL_E4,55,6,VLMC
CELL.57,CELL.57,2,Stage44_telencephalon_rep2_FP200000239BL_E4,57,6,VLMC
CELL.58,CELL.58,4,Stage44_telencephalon_rep2_FP200000239BL_E4,58,3,Immature NPTXEX
CELL.59,CELL.59,2,Stage44_telencephalon_rep2_FP200000239BL_E4,59,1,Immature MSN
CELL.61,CELL.61,4,Stage44_telencephalon_rep2_FP200000239BL_E4,61,3,Immature NPTXEX
CELL.64,CELL.64,1,Stage44_telencephalon_rep2_FP200000239BL_E4,64,3,Immature NPTXEX
CELL.68,CELL.68,4,Stage44_telencephalon_rep2_FP200000239BL_E4,68,3,Immature NPTXEX
CELL.69,CELL.69,1,Stage44_telencephalon_rep2_FP200000239BL_E4,69,1,Immature MSN
CELL.70,CELL.70,4,Stage44_telencephalon_rep2_FP200000239BL_E4,70,3,Immature NPTXEX
CELL.71,CELL.71,1,Stage44_telencephalon_rep2_FP200000239BL_E4,71,1,Immature MSN
CELL.75,CELL.75,2,Stage44_telencephalon_rep2_FP200000239BL_E4,75,3,DNBL2
CELL.76,CELL.76,1,Stage44_telencephalon_rep2_FP200000239BL_E4,76,1,Immature MSN
CELL.78,CELL.78,4,Stage44_telencephalon_rep2_FP200000239BL_E4,78,3,Immature NPTXEX
CELL.79,CELL.79,1,Stage44_telencephalon_rep2_FP200000239BL_E4,79,1,Immature MSN
CELL.80,CELL.80,2,Stage44_telencephalon_rep2_FP200000239BL_E4,80,3,DNBL1
CELL.82,CELL.82,4,Stage44_telencephalon_rep2_FP200000239BL_E4,82,3,Immature NPTXEX
CELL.84,CELL.84,4,Stage44_telencephalon_rep2_FP200000239BL_E4,84,6,VLMC
CELL.85,CELL.85,4,Stage44_telencephalon_rep2_FP200000239BL_E4,85,3,Immature NPTXEX
CELL.87,CELL.87,2,Stage44_telencephalon_rep2_FP200000239BL_E4,87,6,VLMC
CELL.88,CELL.88,4,Stage44_telencephalon_rep2_FP200000239BL_E4,88,3,Immature NPTXEX
CELL.90,CELL.90,1,Stage44_telencephalon_rep2_FP200000239BL_E4,90,1,Immature MSN
CELL.91,CELL.91,4,Stage44_telencephalon_rep2_FP200000239BL_E4,91,3,Immature NPTXEX
CELL.92,CELL.92,4,Stage44_telencephalon_rep2_FP200000239BL_E4,92,3,Immature NPTXEX
CELL.93,CELL.93,1,Stage44_telencephalon_rep2_FP200000239BL_E4,93,3,Immature NPTXEX
CELL.94,CELL.94,1,Stage44_telencephalon_rep2_FP200000239BL_E4,94,1,Immature MSN
CELL.95,CELL.95,1,Stage44_telencephalon_rep2_FP200000239BL_E4,95,1,Immature MSN
CELL.98,CELL.98,1,Stage44_telencephalon_rep2_FP200000239BL_E4,98,1,Immature MSN
CELL.99,CELL.99,4,Stage44_telencephalon_rep2_FP200000239BL_E4,99,3,Immature NPTXEX
CELL.100,CELL.100,4,Stage44_telencephalon_rep2_FP200000239BL_E4,100,3,Immature NPTXEX
CELL.101,CELL.101,2,Stage44_telencephalon_rep2_FP200000239BL_E4,101,6,VLMC
CELL.102,CELL.102,4,Stage44_telencephalon_rep2_FP200000239BL_E4,102,3,Immature NPTXEX
CELL.106,CELL.106,1,Stage44_telencephalon_rep2_FP200000239BL_E4,106,1,Immature MSN
CELL.108,CELL.108,4,Stage44_telencephalon_rep2_FP200000239BL_E4,108,3,Immature NPTXEX
CELL.110,CELL.110,4,Stage44_telencephalon_rep2_FP200000239BL_E4,110,3,Immature NPTXEX
CELL.113,CELL.113,1,Stage44_telencephalon_rep2_FP200000239BL_E4,113,1,Immature MSN
CELL.115,CELL.115,2,Stage44_telencephalon_rep2_FP200000239BL_E4,115,6,VLMC
CELL.117,CELL.117,4,Stage44_telencephalon_rep2_FP200000239BL_E4,117,3,Immature NPTXEX
CELL.118,CELL.118,4,Stage44_telencephalon_rep2_FP200000239BL_E4,118,3,DNBL2
CELL.119,CELL.119,1,Stage44_telencephalon_rep2_FP200000239BL_E4,119,1,Immature MSN
CELL.120,CELL.120,1,Stage44_telencephalon_rep2_FP200000239BL_E4,120,1,Immature MSN
CELL.121,CELL.121,1,Stage44_telencephalon_rep2_FP200000239BL_E4,121,1,Immature MSN
CELL.123,CELL.123,4,Stage44_telencephalon_rep2_FP200000239BL_E4,123,3,Immature NPTXEX
CELL.124,CELL.124,1,Stage44_telencephalon_rep2_FP200000239BL_E4,124,1,Immature MSN
CELL.125,CELL.125,1,Stage44_telencephalon_rep2_FP200000239BL_E4,125,1,Immature MSN
CELL.126,CELL.126,2,Stage44_telencephalon_rep2_FP200000239BL_E4,126,5,Immature CMPN
CELL.128,CELL.128,4,Stage44_telencephalon_rep2_FP200000239BL_E4,128,3,Immature NPTXEX
CELL.129,CELL.129,4,Stage44_telencephalon_rep2_FP200000239BL_E4,129,3,Immature NPTXEX
CELL.130,CELL.130,4,Stage44_telencephalon_rep2_FP200000239BL_E4,130,3,Immature NPTXEX
