,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Annotation_0305
CELL.1,CELL.1,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,1,0,Immature CCKIN
CELL.2,CELL.2,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,2,0,VLMC
CELL.3,CELL.3,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,3,0,VLMC
CELL.4,CELL.4,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,4,0,Immature CCKIN
CELL.5,CELL.5,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,5,0,VLMC
CELL.6,CELL.6,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,6,0,VLMC
CELL.7,CELL.7,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,7,0,VLMC
CELL.8,CELL.8,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,8,0,VLMC
CELL.9,CELL.9,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,9,0,VLMC
CELL.11,CELL.11,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,11,0,VLMC
CELL.12,CELL.12,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,12,0,VLMC
CELL.17,CELL.17,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,17,0,VLMC
CELL.18,CELL.18,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,18,0,VLMC
CELL.19,CELL.19,6,Stage54_telencephalon_rep2_DP8400015649BRD6_2,19,0,VLMC
CELL.20,CELL.20,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,20,0,VLMC
CELL.21,CELL.21,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,21,0,Immature CCKIN
CELL.22,CELL.22,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,22,0,VLMC
CELL.25,CELL.25,2,Stage54_telencephalon_rep2_DP8400015649BRD6_2,25,0,VLMC
CELL.26,CELL.26,6,Stage54_telencephalon_rep2_DP8400015649BRD6_2,26,4,Immature NPTXEX
CELL.27,CELL.27,6,Stage54_telencephalon_rep2_DP8400015649BRD6_2,27,4,Immature NPTXEX
