,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.18,CELL.18,4,Injury_15DPI_C_rep1_FP200000266TR_E6,18,5,VLMC,inj,V,VLMC,VLMC
CELL.20,CELL.20,4,Injury_15DPI_C_rep1_FP200000266TR_E6,20,5,VLMC,inj,V,VLMC,VLMC
CELL.22,CELL.22,4,Injury_15DPI_C_rep1_FP200000266TR_E6,22,5,VLMC,inj,V,VLMC,VLMC
CELL.24,CELL.24,4,Injury_15DPI_C_rep1_FP200000266TR_E6,24,5,VLMC,inj,V,VLMC,VLMC
CELL.25,CELL.25,4,Injury_15DPI_C_rep1_FP200000266TR_E6,25,5,VLMC,inj,V,VLMC,VLMC
CELL.26,CELL.26,4,Injury_15DPI_C_rep1_FP200000266TR_E6,26,5,VLMC,inj,V,VLMC,VLMC
CELL.27,CELL.27,7,Injury_15DPI_C_rep1_FP200000266TR_E6,27,4,VLMC,inj,V,VLMC,VLMC
CELL.29,CELL.29,7,Injury_15DPI_C_rep1_FP200000266TR_E6,29,4,VLMC,inj,V,VLMC,VLMC
CELL.30,CELL.30,4,Injury_15DPI_C_rep1_FP200000266TR_E6,30,5,VLMC,inj,V,VLMC,VLMC
CELL.31,CELL.31,4,Injury_15DPI_C_rep1_FP200000266TR_E6,31,5,VLMC,inj,V,VLMC,VLMC
CELL.32,CELL.32,4,Injury_15DPI_C_rep1_FP200000266TR_E6,32,5,VLMC,inj,V,VLMC,VLMC
CELL.33,CELL.33,4,Injury_15DPI_C_rep1_FP200000266TR_E6,33,4,VLMC,inj,V,VLMC,VLMC
CELL.35,CELL.35,4,Injury_15DPI_C_rep1_FP200000266TR_E6,35,4,VLMC,inj,V,VLMC,VLMC
CELL.36,CELL.36,4,Injury_15DPI_C_rep1_FP200000266TR_E6,36,4,VLMC,inj,V,VLMC,VLMC
CELL.37,CELL.37,7,Injury_15DPI_C_rep1_FP200000266TR_E6,37,5,VLMC,inj,V,VLMC,VLMC
CELL.38,CELL.38,4,Injury_15DPI_C_rep1_FP200000266TR_E6,38,5,VLMC,inj,V,VLMC,VLMC
CELL.39,CELL.39,4,Injury_15DPI_C_rep1_FP200000266TR_E6,39,4,VLMC,inj,V,VLMC,VLMC
CELL.40,CELL.40,4,Injury_15DPI_C_rep1_FP200000266TR_E6,40,5,VLMC,inj,V,VLMC,VLMC
CELL.41,CELL.41,4,Injury_15DPI_C_rep1_FP200000266TR_E6,41,5,VLMC,inj,V,VLMC,VLMC
CELL.45,CELL.45,4,Injury_15DPI_C_rep1_FP200000266TR_E6,45,5,VLMC,inj,V,VLMC,VLMC
CELL.46,CELL.46,4,Injury_15DPI_C_rep1_FP200000266TR_E6,46,4,CP,inj,V,VLMC,VLMC
CELL.47,CELL.47,4,Injury_15DPI_C_rep1_FP200000266TR_E6,47,5,VLMC,uninj,V,VLMC,VLMC
CELL.48,CELL.48,7,Injury_15DPI_C_rep1_FP200000266TR_E6,48,5,CP,inj,V,VLMC,VLMC
CELL.49,CELL.49,4,Injury_15DPI_C_rep1_FP200000266TR_E6,49,5,VLMC,inj,V,VLMC,VLMC
CELL.50,CELL.50,4,Injury_15DPI_C_rep1_FP200000266TR_E6,50,4,CP,inj,V,VLMC,VLMC
CELL.51,CELL.51,7,Injury_15DPI_C_rep1_FP200000266TR_E6,51,4,CP,inj,V,VLMC,VLMC
CELL.52,CELL.52,7,Injury_15DPI_C_rep1_FP200000266TR_E6,52,5,CP,inj,V,VLMC,VLMC
CELL.54,CELL.54,0,Injury_15DPI_C_rep1_FP200000266TR_E6,54,5,CP,inj,V,VLMC,VLMC
CELL.55,CELL.55,4,Injury_15DPI_C_rep1_FP200000266TR_E6,55,5,VLMC,uninj,V,VLMC,VLMC
CELL.56,CELL.56,4,Injury_15DPI_C_rep1_FP200000266TR_E6,56,4,CP,inj,V,VLMC,VLMC
CELL.58,CELL.58,4,Injury_15DPI_C_rep1_FP200000266TR_E6,58,5,VLMC,uninj,V,VLMC,VLMC
CELL.59,CELL.59,4,Injury_15DPI_C_rep1_FP200000266TR_E6,59,5,VLMC,uninj,V,VLMC,VLMC
CELL.60,CELL.60,4,Injury_15DPI_C_rep1_FP200000266TR_E6,60,5,VLMC,inj,V,VLMC,VLMC
CELL.61,CELL.61,7,Injury_15DPI_C_rep1_FP200000266TR_E6,61,5,VLMC,uninj,V,VLMC,VLMC
CELL.62,CELL.62,4,Injury_15DPI_C_rep1_FP200000266TR_E6,62,5,VLMC,uninj,V,VLMC,VLMC
CELL.64,CELL.64,0,Injury_15DPI_C_rep1_FP200000266TR_E6,64,5,CP,inj,V,VLMC,VLMC
CELL.65,CELL.65,4,Injury_15DPI_C_rep1_FP200000266TR_E6,65,5,VLMC,inj,V,VLMC,VLMC
CELL.66,CELL.66,4,Injury_15DPI_C_rep1_FP200000266TR_E6,66,5,VLMC,uninj,V,VLMC,VLMC
