,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,inj_M_L,x_center,y_center,Annotation_Final,Annotation_0306
CELL.2,CELL.2,0,Injury_15DPI_rep2_FP200000266TR_E2,2,9,VLMC,inj,V,NO,20.0,1914.0,VLMC,VLMC
CELL.3,CELL.3,0,Injury_15DPI_rep2_FP200000266TR_E2,3,9,VLMC,inj,V,NO,37.0,1888.0,VLMC,VLMC
CELL.4,CELL.4,0,Injury_15DPI_rep2_FP200000266TR_E2,4,13,IMC,inj,V,NO,43.0,1753.0,Microglia,MCG
CELL.5,CELL.5,0,Injury_15DPI_rep2_FP200000266TR_E2,5,9,VLMC,inj,V,NO,38.0,1837.0,VLMC,VLMC
CELL.6,CELL.6,0,Injury_15DPI_rep2_FP200000266TR_E2,6,9,VLMC,inj,V,NO,35.0,1948.0,VLMC,VLMC
CELL.7,CELL.7,0,Injury_15DPI_rep2_FP200000266TR_E2,7,9,VLMC,inj,V,NO,53.0,1982.0,VLMC,VLMC
CELL.8,CELL.8,0,Injury_15DPI_rep2_FP200000266TR_E2,8,9,VLMC,inj,V,NO,65.0,1901.0,VLMC,VLMC
CELL.9,CELL.9,0,Injury_15DPI_rep2_FP200000266TR_E2,9,1,VLMC,inj,V,NO,65.0,1664.0,VLMC,VLMC
CELL.10,CELL.10,0,Injury_15DPI_rep2_FP200000266TR_E2,10,1,VLMC,inj,V,NO,69.0,1721.0,VLMC,VLMC
CELL.11,CELL.11,0,Injury_15DPI_rep2_FP200000266TR_E2,11,9,VLMC,inj,V,NO,65.0,1805.0,VLMC,VLMC
CELL.12,CELL.12,0,Injury_15DPI_rep2_FP200000266TR_E2,12,9,VLMC,inj,V,NO,63.0,1849.0,VLMC,VLMC
CELL.13,CELL.13,0,Injury_15DPI_rep2_FP200000266TR_E2,13,9,VLMC,inj,V,NO,63.0,1956.0,VLMC,VLMC
CELL.14,CELL.14,0,Injury_15DPI_rep2_FP200000266TR_E2,14,13,IMC,inj,V,NO,66.0,1781.0,Microglia,MCG
CELL.15,CELL.15,0,Injury_15DPI_rep2_FP200000266TR_E2,15,1,CP,inj,V,NO,89.0,1503.0,VLMC,VLMC
CELL.16,CELL.16,0,Injury_15DPI_rep2_FP200000266TR_E2,16,9,VLMC,inj,V,NO,70.0,1825.0,VLMC,VLMC
CELL.17,CELL.17,0,Injury_15DPI_rep2_FP200000266TR_E2,17,1,VLMC,inj,V,NO,80.0,1463.0,VLMC,VLMC
CELL.18,CELL.18,0,Injury_15DPI_rep2_FP200000266TR_E2,18,1,VLMC,inj,V,NO,71.0,1596.0,VLMC,VLMC
CELL.19,CELL.19,0,Injury_15DPI_rep2_FP200000266TR_E2,19,1,VLMC,inj,V,NO,76.0,1626.0,VLMC,VLMC
CELL.20,CELL.20,0,Injury_15DPI_rep2_FP200000266TR_E2,20,1,VLMC,inj,V,NO,75.0,1564.0,VLMC,VLMC
CELL.21,CELL.21,11,Injury_15DPI_rep2_FP200000266TR_E2,21,1,VLMC,inj,V,NO,80.0,1433.0,VLMC,VLMC
CELL.22,CELL.22,0,Injury_15DPI_rep2_FP200000266TR_E2,22,9,VLMC,inj,V,NO,88.0,2022.0,VLMC,VLMC
CELL.23,CELL.23,0,Injury_15DPI_rep2_FP200000266TR_E2,23,9,VLMC,inj,V,NO,86.0,1946.0,VLMC,VLMC
CELL.24,CELL.24,0,Injury_15DPI_rep2_FP200000266TR_E2,24,9,VLMC,inj,V,NO,95.0,1994.0,VLMC,VLMC
CELL.25,CELL.25,0,Injury_15DPI_rep2_FP200000266TR_E2,25,1,VLMC,inj,V,NO,98.0,1296.0,VLMC,VLMC
CELL.26,CELL.26,0,Injury_15DPI_rep2_FP200000266TR_E2,26,1,VLMC,inj,V,NO,99.0,1541.0,VLMC,VLMC
