,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.1,CELL.1,4,Injury_15DPI_rep4_FP200000266TR_E4,1,15,VLMC,inj,V,VLMC,VLMC
CELL.2,CELL.2,4,Injury_15DPI_rep4_FP200000266TR_E4,2,15,VLMC,inj,V,VLMC,VLMC
CELL.3,CELL.3,8,Injury_15DPI_rep4_FP200000266TR_E4,3,15,VLMC,inj,V,VLMC,VLMC
CELL.4,CELL.4,4,Injury_15DPI_rep4_FP200000266TR_E4,4,15,VLMC,inj,V,VLMC,VLMC
CELL.5,CELL.5,4,Injury_15DPI_rep4_FP200000266TR_E4,5,15,VLMC,inj,V,VLMC,VLMC
CELL.6,CELL.6,4,Injury_15DPI_rep4_FP200000266TR_E4,6,6,CP,inj,V,VLMC,VLMC
CELL.7,CELL.7,8,Injury_15DPI_rep4_FP200000266TR_E4,7,6,CP,inj,V,VLMC,VLMC
CELL.8,CELL.8,4,Injury_15DPI_rep4_FP200000266TR_E4,8,6,CP,inj,V,CP,CP
CELL.9,CELL.9,4,Injury_15DPI_rep4_FP200000266TR_E4,9,15,VLMC,inj,V,VLMC,VLMC
CELL.10,CELL.10,4,Injury_15DPI_rep4_FP200000266TR_E4,10,15,VLMC,inj,V,VLMC,VLMC
CELL.11,CELL.11,4,Injury_15DPI_rep4_FP200000266TR_E4,11,15,VLMC,inj,V,VLMC,VLMC
CELL.12,CELL.12,4,Injury_15DPI_rep4_FP200000266TR_E4,12,15,VLMC,inj,V,VLMC,VLMC
CELL.13,CELL.13,4,Injury_15DPI_rep4_FP200000266TR_E4,13,4,CP,inj,V,VLMC,VLMC
CELL.14,CELL.14,4,Injury_15DPI_rep4_FP200000266TR_E4,14,4,CP,inj,V,VLMC,VLMC
CELL.15,CELL.15,4,Injury_15DPI_rep4_FP200000266TR_E4,15,15,VLMC,inj,V,VLMC,VLMC
CELL.16,CELL.16,4,Injury_15DPI_rep4_FP200000266TR_E4,16,15,VLMC,inj,V,VLMC,VLMC
CELL.17,CELL.17,4,Injury_15DPI_rep4_FP200000266TR_E4,17,4,CP,inj,V,VLMC,VLMC
CELL.18,CELL.18,4,Injury_15DPI_rep4_FP200000266TR_E4,18,15,VLMC,inj,V,VLMC,VLMC
CELL.19,CELL.19,4,Injury_15DPI_rep4_FP200000266TR_E4,19,15,VLMC,inj,V,VLMC,VLMC
CELL.20,CELL.20,8,Injury_15DPI_rep4_FP200000266TR_E4,20,15,VLMC,inj,V,VLMC,VLMC
CELL.21,CELL.21,4,Injury_15DPI_rep4_FP200000266TR_E4,21,15,VLMC,inj,V,VLMC,VLMC
CELL.22,CELL.22,4,Injury_15DPI_rep4_FP200000266TR_E4,22,4,CP,inj,V,VLMC,VLMC
CELL.23,CELL.23,4,Injury_15DPI_rep4_FP200000266TR_E4,23,4,CP,inj,V,VLMC,VLMC
CELL.24,CELL.24,4,Injury_15DPI_rep4_FP200000266TR_E4,24,15,VLMC,inj,V,VLMC,VLMC
CELL.25,CELL.25,8,Injury_15DPI_rep4_FP200000266TR_E4,25,6,CP,inj,V,VLMC,VLMC
CELL.27,CELL.27,8,Injury_15DPI_rep4_FP200000266TR_E4,27,6,CP,inj,V,VLMC,VLMC
CELL.28,CELL.28,4,Injury_15DPI_rep4_FP200000266TR_E4,28,15,VLMC,inj,V,VLMC,VLMC
CELL.29,CELL.29,4,Injury_15DPI_rep4_FP200000266TR_E4,29,15,VLMC,inj,V,VLMC,VLMC
CELL.31,CELL.31,4,Injury_15DPI_rep4_FP200000266TR_E4,31,15,VLMC,inj,V,VLMC,VLMC
CELL.33,CELL.33,4,Injury_15DPI_rep4_FP200000266TR_E4,33,6,CP,inj,V,VLMC,VLMC
CELL.34,CELL.34,4,Injury_15DPI_rep4_FP200000266TR_E4,34,6,CP,inj,V,VLMC,VLMC
CELL.35,CELL.35,4,Injury_15DPI_rep4_FP200000266TR_E4,35,15,VLMC,inj,V,VLMC,VLMC
CELL.36,CELL.36,4,Injury_15DPI_rep4_FP200000266TR_E4,36,15,VLMC,inj,V,VLMC,VLMC
CELL.37,CELL.37,4,Injury_15DPI_rep4_FP200000266TR_E4,37,15,VLMC,inj,V,VLMC,VLMC
CELL.38,CELL.38,4,Injury_15DPI_rep4_FP200000266TR_E4,38,6,CP,inj,V,VLMC,VLMC
CELL.39,CELL.39,4,Injury_15DPI_rep4_FP200000266TR_E4,39,6,CP,inj,V,VLMC,VLMC
CELL.41,CELL.41,4,Injury_15DPI_rep4_FP200000266TR_E4,41,15,VLMC,inj,V,VLMC,VLMC
CELL.46,CELL.46,4,Injury_15DPI_rep4_FP200000266TR_E4,46,15,VLMC,inj,V,VLMC,VLMC
CELL.48,CELL.48,4,Injury_15DPI_rep4_FP200000266TR_E4,48,15,VLMC,inj,V,VLMC,VLMC
CELL.50,CELL.50,4,Injury_15DPI_rep4_FP200000266TR_E4,50,15,VLMC,inj,V,VLMC,VLMC
CELL.51,CELL.51,4,Injury_15DPI_rep4_FP200000266TR_E4,51,4,CP,inj,V,VLMC,VLMC
CELL.52,CELL.52,8,Injury_15DPI_rep4_FP200000266TR_E4,52,4,CP,inj,V,VLMC,VLMC
CELL.53,CELL.53,4,Injury_15DPI_rep4_FP200000266TR_E4,53,15,VLMC,inj,V,VLMC,VLMC
CELL.55,CELL.55,4,Injury_15DPI_rep4_FP200000266TR_E4,55,6,CP,inj,V,VLMC,VLMC
CELL.57,CELL.57,4,Injury_15DPI_rep4_FP200000266TR_E4,57,15,VLMC,inj,V,VLMC,VLMC
CELL.58,CELL.58,4,Injury_15DPI_rep4_FP200000266TR_E4,58,4,CP,inj,V,VLMC,VLMC
CELL.59,CELL.59,4,Injury_15DPI_rep4_FP200000266TR_E4,59,15,VLMC,inj,V,VLMC,VLMC
CELL.60,CELL.60,8,Injury_15DPI_rep4_FP200000266TR_E4,60,3,CCND1RGC,inj,V,RIBRGC,RIBEGC
CELL.61,CELL.61,4,Injury_15DPI_rep4_FP200000266TR_E4,61,15,VLMC,inj,V,VLMC,VLMC
CELL.63,CELL.63,4,Injury_15DPI_rep4_FP200000266TR_E4,63,15,VLMC,inj,V,VLMC,VLMC
CELL.64,CELL.64,8,Injury_15DPI_rep4_FP200000266TR_E4,64,15,VLMC,inj,V,VLMC,VLMC
CELL.65,CELL.65,4,Injury_15DPI_rep4_FP200000266TR_E4,65,15,VLMC,inj,V,VLMC,VLMC
CELL.67,CELL.67,4,Injury_15DPI_rep4_FP200000266TR_E4,67,6,CP,inj,V,VLMC,VLMC
CELL.69,CELL.69,8,Injury_15DPI_rep4_FP200000266TR_E4,69,6,CP,inj,V,VLMC,VLMC
CELL.70,CELL.70,4,Injury_15DPI_rep4_FP200000266TR_E4,70,15,VLMC,inj,V,VLMC,VLMC
CELL.71,CELL.71,4,Injury_15DPI_rep4_FP200000266TR_E4,71,15,VLMC,inj,V,VLMC,VLMC
CELL.74,CELL.74,4,Injury_15DPI_rep4_FP200000266TR_E4,74,15,VLMC,inj,V,VLMC,VLMC
CELL.75,CELL.75,8,Injury_15DPI_rep4_FP200000266TR_E4,75,6,CP,inj,V,VLMC,VLMC
CELL.76,CELL.76,4,Injury_15DPI_rep4_FP200000266TR_E4,76,4,CP,inj,V,VLMC,VLMC
CELL.77,CELL.77,4,Injury_15DPI_rep4_FP200000266TR_E4,77,8,RIPC2,inj,V,RIPC3,RIPC2
CELL.78,CELL.78,4,Injury_15DPI_rep4_FP200000266TR_E4,78,15,VLMC,inj,V,VLMC,VLMC
CELL.79,CELL.79,3,Injury_15DPI_rep4_FP200000266TR_E4,79,2,MSN,inj,V,MSN,MSN
CELL.80,CELL.80,4,Injury_15DPI_rep4_FP200000266TR_E4,80,15,VLMC,inj,V,VLMC,VLMC
CELL.83,CELL.83,4,Injury_15DPI_rep4_FP200000266TR_E4,83,15,VLMC,inj,V,VLMC,VLMC
CELL.85,CELL.85,4,Injury_15DPI_rep4_FP200000266TR_E4,85,6,CP,inj,V,VLMC,VLMC
CELL.86,CELL.86,4,Injury_15DPI_rep4_FP200000266TR_E4,86,6,CP,inj,V,VLMC,VLMC
CELL.87,CELL.87,8,Injury_15DPI_rep4_FP200000266TR_E4,87,6,CP,inj,V,VLMC,VLMC
CELL.88,CELL.88,3,Injury_15DPI_rep4_FP200000266TR_E4,88,10,BKC,inj,V,CCKIN,CCKIN
CELL.89,CELL.89,3,Injury_15DPI_rep4_FP200000266TR_E4,89,10,BKC,inj,V,CCKIN,CCKIN
CELL.90,CELL.90,1,Injury_15DPI_rep4_FP200000266TR_E4,90,11,NBL,inj,V,NTNG1EX,NTNG1EX
CELL.92,CELL.92,4,Injury_15DPI_rep4_FP200000266TR_E4,92,15,VLMC,inj,V,VLMC,VLMC
CELL.94,CELL.94,8,Injury_15DPI_rep4_FP200000266TR_E4,94,6,CP,inj,V,VLMC,VLMC
CELL.95,CELL.95,8,Injury_15DPI_rep4_FP200000266TR_E4,95,4,CP,inj,V,VLMC,VLMC
CELL.97,CELL.97,4,Injury_15DPI_rep4_FP200000266TR_E4,97,4,CP,inj,V,VLMC,VLMC
CELL.98,CELL.98,3,Injury_15DPI_rep4_FP200000266TR_E4,98,10,BKC,inj,V,CCKIN,CCKIN
CELL.99,CELL.99,1,Injury_15DPI_rep4_FP200000266TR_E4,99,6,CP,inj,V,VLMC,VLMC
CELL.100,CELL.100,4,Injury_15DPI_rep4_FP200000266TR_E4,100,4,CP,inj,V,VLMC,VLMC
CELL.101,CELL.101,3,Injury_15DPI_rep4_FP200000266TR_E4,101,10,BKC,inj,V,CCKIN,CCKIN
CELL.102,CELL.102,8,Injury_15DPI_rep4_FP200000266TR_E4,102,0,CP,inj,V,CMPN,CMPN
CELL.103,CELL.103,1,Injury_15DPI_rep4_FP200000266TR_E4,103,0,CMPN,inj,V,CMPN,CMPN
CELL.104,CELL.104,4,Injury_15DPI_rep4_FP200000266TR_E4,104,15,VLMC,inj,V,VLMC,VLMC
CELL.105,CELL.105,4,Injury_15DPI_rep4_FP200000266TR_E4,105,4,CP,inj,V,VLMC,VLMC
CELL.106,CELL.106,1,Injury_15DPI_rep4_FP200000266TR_E4,106,0,CMPN,inj,V,CMPN,CMPN
CELL.107,CELL.107,3,Injury_15DPI_rep4_FP200000266TR_E4,107,10,BKC,inj,V,CCKIN,CCKIN
CELL.109,CELL.109,8,Injury_15DPI_rep4_FP200000266TR_E4,109,6,CP,inj,V,VLMC,VLMC
CELL.114,CELL.114,8,Injury_15DPI_rep4_FP200000266TR_E4,114,8,RIPC2,inj,V,RIPC3,RIPC2
CELL.115,CELL.115,8,Injury_15DPI_rep4_FP200000266TR_E4,115,0,CMPN,inj,V,CMPN,CMPN
CELL.116,CELL.116,5,Injury_15DPI_rep4_FP200000266TR_E4,116,0,CMPN,inj,V,CMPN,CMPN
CELL.117,CELL.117,8,Injury_15DPI_rep4_FP200000266TR_E4,117,0,CP,inj,V,CMPN,CMPN
CELL.120,CELL.120,1,Injury_15DPI_rep4_FP200000266TR_E4,120,2,StriatumIN,inj,V,MSN,MSN
CELL.121,CELL.121,8,Injury_15DPI_rep4_FP200000266TR_E4,121,6,CP,inj,V,VLMC,VLMC
CELL.123,CELL.123,4,Injury_15DPI_rep4_FP200000266TR_E4,123,4,CP,uninj,V,VLMC,VLMC
CELL.124,CELL.124,1,Injury_15DPI_rep4_FP200000266TR_E4,124,0,CMPN,inj,V,CMPN,CMPN
CELL.125,CELL.125,8,Injury_15DPI_rep4_FP200000266TR_E4,125,6,CP,inj,V,VLMC,VLMC
CELL.126,CELL.126,3,Injury_15DPI_rep4_FP200000266TR_E4,126,10,BKC,inj,V,CCKIN,CCKIN
CELL.127,CELL.127,1,Injury_15DPI_rep4_FP200000266TR_E4,127,0,CMPN,inj,V,CMPN,CMPN
CELL.130,CELL.130,3,Injury_15DPI_rep4_FP200000266TR_E4,130,2,StriatumIN,inj,V,MSN,MSN
CELL.131,CELL.131,1,Injury_15DPI_rep4_FP200000266TR_E4,131,0,CMPN,inj,V,CMPN,CMPN
CELL.132,CELL.132,3,Injury_15DPI_rep4_FP200000266TR_E4,132,10,BKC,inj,V,CCKIN,CCKIN
CELL.133,CELL.133,1,Injury_15DPI_rep4_FP200000266TR_E4,133,0,CP,inj,V,CMPN,CMPN
CELL.135,CELL.135,8,Injury_15DPI_rep4_FP200000266TR_E4,135,8,RIPC2,inj,V,RIPC3,RIPC2
CELL.136,CELL.136,3,Injury_15DPI_rep4_FP200000266TR_E4,136,10,BKC,inj,V,CCKIN,CCKIN
CELL.137,CELL.137,3,Injury_15DPI_rep4_FP200000266TR_E4,137,10,BKC,inj,V,CCKIN,CCKIN
CELL.139,CELL.139,3,Injury_15DPI_rep4_FP200000266TR_E4,139,10,BKC,inj,V,CCKIN,CCKIN
CELL.140,CELL.140,3,Injury_15DPI_rep4_FP200000266TR_E4,140,10,BKC,inj,V,CCKIN,CCKIN
CELL.141,CELL.141,3,Injury_15DPI_rep4_FP200000266TR_E4,141,10,BKC,inj,V,CCKIN,CCKIN
CELL.142,CELL.142,1,Injury_15DPI_rep4_FP200000266TR_E4,142,0,CMPN,inj,V,CMPN,CMPN
CELL.143,CELL.143,8,Injury_15DPI_rep4_FP200000266TR_E4,143,15,VLMC,inj,V,VLMC,VLMC
CELL.145,CELL.145,3,Injury_15DPI_rep4_FP200000266TR_E4,145,10,BKC,inj,V,CCKIN,CCKIN
CELL.146,CELL.146,1,Injury_15DPI_rep4_FP200000266TR_E4,146,0,NBL,inj,V,CMPN,CMPN
CELL.147,CELL.147,8,Injury_15DPI_rep4_FP200000266TR_E4,147,15,VLMC,inj,V,VLMC,VLMC
CELL.149,CELL.149,3,Injury_15DPI_rep4_FP200000266TR_E4,149,10,BKC,inj,V,CCKIN,CCKIN
CELL.150,CELL.150,8,Injury_15DPI_rep4_FP200000266TR_E4,150,0,CMPN,inj,V,CMPN,CMPN
CELL.151,CELL.151,3,Injury_15DPI_rep4_FP200000266TR_E4,151,10,BKC,inj,V,CCKIN,CCKIN
CELL.152,CELL.152,1,Injury_15DPI_rep4_FP200000266TR_E4,152,0,CMPN,inj,V,CMPN,CMPN
CELL.155,CELL.155,3,Injury_15DPI_rep4_FP200000266TR_E4,155,10,BKC,inj,V,CCKIN,CCKIN
CELL.156,CELL.156,1,Injury_15DPI_rep4_FP200000266TR_E4,156,0,CMPN,inj,V,CMPN,CMPN
CELL.159,CELL.159,3,Injury_15DPI_rep4_FP200000266TR_E4,159,10,BKC,inj,V,CCKIN,CCKIN
CELL.160,CELL.160,3,Injury_15DPI_rep4_FP200000266TR_E4,160,10,BKC,inj,V,CCKIN,CCKIN
CELL.161,CELL.161,3,Injury_15DPI_rep4_FP200000266TR_E4,161,10,BKC,inj,V,CCKIN,CCKIN
CELL.163,CELL.163,1,Injury_15DPI_rep4_FP200000266TR_E4,163,0,CMPN,inj,V,CMPN,CMPN
CELL.164,CELL.164,1,Injury_15DPI_rep4_FP200000266TR_E4,164,0,CMPN,inj,V,CMPN,CMPN
CELL.165,CELL.165,3,Injury_15DPI_rep4_FP200000266TR_E4,165,10,BKC,inj,V,CCKIN,CCKIN
CELL.166,CELL.166,8,Injury_15DPI_rep4_FP200000266TR_E4,166,6,CP,inj,V,VLMC,VLMC
CELL.167,CELL.167,4,Injury_15DPI_rep4_FP200000266TR_E4,167,15,VLMC,inj,V,VLMC,VLMC
CELL.168,CELL.168,1,Injury_15DPI_rep4_FP200000266TR_E4,168,0,CMPN,inj,V,CMPN,CMPN
CELL.169,CELL.169,3,Injury_15DPI_rep4_FP200000266TR_E4,169,10,BKC,inj,V,CCKIN,CCKIN
CELL.170,CELL.170,1,Injury_15DPI_rep4_FP200000266TR_E4,170,2,StriatumIN,inj,V,MSN,MSN
CELL.172,CELL.172,1,Injury_15DPI_rep4_FP200000266TR_E4,172,0,CMPN,inj,V,CMPN,CMPN
CELL.173,CELL.173,1,Injury_15DPI_rep4_FP200000266TR_E4,173,0,CMPN,inj,V,CMPN,CMPN
CELL.174,CELL.174,1,Injury_15DPI_rep4_FP200000266TR_E4,174,0,CMPN,inj,V,CMPN,CMPN
CELL.175,CELL.175,3,Injury_15DPI_rep4_FP200000266TR_E4,175,10,BKC,inj,V,CCKIN,CCKIN
CELL.176,CELL.176,4,Injury_15DPI_rep4_FP200000266TR_E4,176,4,CP,uninj,V,VLMC,VLMC
CELL.177,CELL.177,3,Injury_15DPI_rep4_FP200000266TR_E4,177,2,MSN,inj,V,MSN,MSN
CELL.178,CELL.178,1,Injury_15DPI_rep4_FP200000266TR_E4,178,0,CMPN,inj,V,CMPN,CMPN
CELL.179,CELL.179,4,Injury_15DPI_rep4_FP200000266TR_E4,179,15,VLMC,uninj,V,VLMC,VLMC
CELL.180,CELL.180,3,Injury_15DPI_rep4_FP200000266TR_E4,180,10,BKC,inj,V,CCKIN,CCKIN
CELL.181,CELL.181,4,Injury_15DPI_rep4_FP200000266TR_E4,181,15,VLMC,uninj,V,VLMC,VLMC
CELL.182,CELL.182,3,Injury_15DPI_rep4_FP200000266TR_E4,182,10,BKC,inj,V,CCKIN,CCKIN
CELL.183,CELL.183,1,Injury_15DPI_rep4_FP200000266TR_E4,183,0,CMPN,inj,V,CMPN,CMPN
CELL.184,CELL.184,3,Injury_15DPI_rep4_FP200000266TR_E4,184,10,BKC,inj,V,CCKIN,CCKIN
CELL.186,CELL.186,3,Injury_15DPI_rep4_FP200000266TR_E4,186,10,BKC,inj,V,CCKIN,CCKIN
CELL.187,CELL.187,4,Injury_15DPI_rep4_FP200000266TR_E4,187,4,CP,uninj,V,VLMC,VLMC
CELL.188,CELL.188,1,Injury_15DPI_rep4_FP200000266TR_E4,188,0,CMPN,inj,V,CMPN,CMPN
CELL.189,CELL.189,8,Injury_15DPI_rep4_FP200000266TR_E4,189,1,DMIN,inj,V,MPEX,MPEX
CELL.190,CELL.190,4,Injury_15DPI_rep4_FP200000266TR_E4,190,15,VLMC,uninj,V,VLMC,VLMC
CELL.191,CELL.191,1,Injury_15DPI_rep4_FP200000266TR_E4,191,0,CMPN,inj,V,CMPN,CMPN
CELL.193,CELL.193,5,Injury_15DPI_rep4_FP200000266TR_E4,193,0,CMPN,inj,V,CMPN,CMPN
CELL.194,CELL.194,3,Injury_15DPI_rep4_FP200000266TR_E4,194,10,BKC,inj,V,CCKIN,CCKIN
CELL.195,CELL.195,4,Injury_15DPI_rep4_FP200000266TR_E4,195,15,VLMC,uninj,V,VLMC,VLMC
CELL.196,CELL.196,3,Injury_15DPI_rep4_FP200000266TR_E4,196,10,BKC,inj,V,CCKIN,CCKIN
CELL.197,CELL.197,4,Injury_15DPI_rep4_FP200000266TR_E4,197,15,VLMC,uninj,V,VLMC,VLMC
CELL.198,CELL.198,8,Injury_15DPI_rep4_FP200000266TR_E4,198,15,VLMC,uninj,V,VLMC,VLMC
CELL.199,CELL.199,1,Injury_15DPI_rep4_FP200000266TR_E4,199,0,CMPN,inj,V,CMPN,CMPN
CELL.200,CELL.200,1,Injury_15DPI_rep4_FP200000266TR_E4,200,11,NBL,inj,V,NTNG1EX,NTNG1EX
