,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.3,CELL.3,4,Injury_60DPI_rep3_FP200000264BL_A6,3,4,CP,uninj,D,VLMC,VLMC
CELL.4,CELL.4,5,Injury_60DPI_rep3_FP200000264BL_A6,4,0,CP,uninj,D,VLMC,VLMC
CELL.6,CELL.6,4,Injury_60DPI_rep3_FP200000264BL_A6,6,14,VLMC,uninj,D,VLMC,VLMC
CELL.7,CELL.7,4,Injury_60DPI_rep3_FP200000264BL_A6,7,4,CP,uninj,D,VLMC,VLMC
CELL.8,CELL.8,4,Injury_60DPI_rep3_FP200000264BL_A6,8,14,VLMC,uninj,D,VLMC,VLMC
CELL.9,CELL.9,4,Injury_60DPI_rep3_FP200000264BL_A6,9,14,VLMC,uninj,D,VLMC,VLMC
CELL.10,CELL.10,4,Injury_60DPI_rep3_FP200000264BL_A6,10,14,VLMC,uninj,D,VLMC,VLMC
CELL.11,CELL.11,4,Injury_60DPI_rep3_FP200000264BL_A6,11,14,VLMC,uninj,D,VLMC,VLMC
CELL.12,CELL.12,4,Injury_60DPI_rep3_FP200000264BL_A6,12,14,VLMC,uninj,D,VLMC,VLMC
CELL.13,CELL.13,4,Injury_60DPI_rep3_FP200000264BL_A6,13,4,CP,uninj,D,VLMC,VLMC
CELL.14,CELL.14,4,Injury_60DPI_rep3_FP200000264BL_A6,14,14,VLMC,uninj,D,VLMC,VLMC
CELL.15,CELL.15,4,Injury_60DPI_rep3_FP200000264BL_A6,15,0,IMC,uninj,D,VLMC,VLMC
CELL.16,CELL.16,4,Injury_60DPI_rep3_FP200000264BL_A6,16,14,VLMC,uninj,D,VLMC,VLMC
CELL.17,CELL.17,4,Injury_60DPI_rep3_FP200000264BL_A6,17,14,VLMC,uninj,D,VLMC,VLMC
CELL.18,CELL.18,4,Injury_60DPI_rep3_FP200000264BL_A6,18,14,VLMC,uninj,D,VLMC,VLMC
CELL.19,CELL.19,4,Injury_60DPI_rep3_FP200000264BL_A6,19,14,VLMC,uninj,D,VLMC,VLMC
CELL.20,CELL.20,4,Injury_60DPI_rep3_FP200000264BL_A6,20,14,VLMC,uninj,D,VLMC,VLMC
CELL.23,CELL.23,4,Injury_60DPI_rep3_FP200000264BL_A6,23,4,CP,uninj,D,VLMC,VLMC
CELL.24,CELL.24,4,Injury_60DPI_rep3_FP200000264BL_A6,24,4,CP,uninj,D,VLMC,VLMC
CELL.26,CELL.26,5,Injury_60DPI_rep3_FP200000264BL_A6,26,14,VLMC,inj,D,VLMC,VLMC
CELL.27,CELL.27,4,Injury_60DPI_rep3_FP200000264BL_A6,27,14,VLMC,inj,D,VLMC,VLMC
CELL.28,CELL.28,5,Injury_60DPI_rep3_FP200000264BL_A6,28,1,CMPN,inj,D,CMPN,CMPN
CELL.29,CELL.29,4,Injury_60DPI_rep3_FP200000264BL_A6,29,14,VLMC,uninj,D,VLMC,VLMC
CELL.30,CELL.30,4,Injury_60DPI_rep3_FP200000264BL_A6,30,4,CP,uninj,D,VLMC,VLMC
CELL.31,CELL.31,4,Injury_60DPI_rep3_FP200000264BL_A6,31,14,VLMC,uninj,D,VLMC,VLMC
CELL.32,CELL.32,4,Injury_60DPI_rep3_FP200000264BL_A6,32,14,VLMC,uninj,D,VLMC,VLMC
CELL.35,CELL.35,5,Injury_60DPI_rep3_FP200000264BL_A6,35,14,VLMC,inj,D,VLMC,VLMC
CELL.37,CELL.37,5,Injury_60DPI_rep3_FP200000264BL_A6,37,14,VLMC,inj,D,VLMC,VLMC
CELL.38,CELL.38,5,Injury_60DPI_rep3_FP200000264BL_A6,38,0,IMC,inj,D,MSN,MSN
CELL.41,CELL.41,4,Injury_60DPI_rep3_FP200000264BL_A6,41,0,IMC,uninj,D,VLMC,VLMC
CELL.42,CELL.42,4,Injury_60DPI_rep3_FP200000264BL_A6,42,14,VLMC,inj,D,VLMC,VLMC
CELL.43,CELL.43,5,Injury_60DPI_rep3_FP200000264BL_A6,43,14,VLMC,inj,D,VLMC,VLMC
CELL.44,CELL.44,4,Injury_60DPI_rep3_FP200000264BL_A6,44,14,VLMC,inj,D,VLMC,VLMC
CELL.46,CELL.46,5,Injury_60DPI_rep3_FP200000264BL_A6,46,14,VLMC,inj,D,VLMC,VLMC
CELL.47,CELL.47,4,Injury_60DPI_rep3_FP200000264BL_A6,47,14,VLMC,inj,D,VLMC,VLMC
CELL.49,CELL.49,4,Injury_60DPI_rep3_FP200000264BL_A6,49,14,VLMC,inj,D,VLMC,VLMC
CELL.50,CELL.50,5,Injury_60DPI_rep3_FP200000264BL_A6,50,0,CP,uninj,D,VLMC,VLMC
CELL.51,CELL.51,4,Injury_60DPI_rep3_FP200000264BL_A6,51,14,VLMC,uninj,D,VLMC,VLMC
CELL.52,CELL.52,5,Injury_60DPI_rep3_FP200000264BL_A6,52,14,VLMC,inj,D,VLMC,VLMC
CELL.55,CELL.55,5,Injury_60DPI_rep3_FP200000264BL_A6,55,14,VLMC,inj,D,VLMC,VLMC
CELL.57,CELL.57,4,Injury_60DPI_rep3_FP200000264BL_A6,57,0,CP,uninj,D,VLMC,VLMC
CELL.58,CELL.58,5,Injury_60DPI_rep3_FP200000264BL_A6,58,7,NPTXEX,inj,D,NPTXEX,NPTXEX
CELL.60,CELL.60,4,Injury_60DPI_rep3_FP200000264BL_A6,60,4,CP,uninj,D,VLMC,VLMC
CELL.62,CELL.62,5,Injury_60DPI_rep3_FP200000264BL_A6,62,14,VLMC,inj,D,VLMC,VLMC
CELL.63,CELL.63,4,Injury_60DPI_rep3_FP200000264BL_A6,63,0,VLMC,inj,D,VLMC,VLMC
