,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,Celltype,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.1,CELL.1,2,Injury_control_FP200000239BL_E3,1,3,VLMC,uninj,D,VLMC,VLMC
CELL.2,CELL.2,2,Injury_control_FP200000239BL_E3,2,3,VLMC,uninj,D,VLMC,VLMC
CELL.3,CELL.3,2,Injury_control_FP200000239BL_E3,3,3,VLMC,uninj,D,VLMC,VLMC
CELL.4,CELL.4,2,Injury_control_FP200000239BL_E3,4,3,VLMC,uninj,V,VLMC,VLMC
CELL.5,CELL.5,2,Injury_control_FP200000239BL_E3,5,8,VLMC,uninj,D,VLMC,VLMC
CELL.6,CELL.6,2,Injury_control_FP200000239BL_E3,6,3,VLMC,uninj,V,VLMC,VLMC
CELL.7,CELL.7,2,Injury_control_FP200000239BL_E3,7,8,VLMC,uninj,V,VLMC,VLMC
CELL.8,CELL.8,2,Injury_control_FP200000239BL_E3,8,3,CP,uninj,D,CP,CP
CELL.9,CELL.9,2,Injury_control_FP200000239BL_E3,9,3,VLMC,uninj,D,VLMC,VLMC
CELL.10,CELL.10,2,Injury_control_FP200000239BL_E3,10,8,VLMC,uninj,V,VLMC,VLMC
CELL.11,CELL.11,2,Injury_control_FP200000239BL_E3,11,8,VLMC,uninj,V,VLMC,VLMC
CELL.12,CELL.12,2,Injury_control_FP200000239BL_E3,12,8,VLMC,uninj,D,VLMC,VLMC
CELL.13,CELL.13,2,Injury_control_FP200000239BL_E3,13,3,CP,uninj,D,CP,CP
CELL.14,CELL.14,2,Injury_control_FP200000239BL_E3,14,3,VLMC,uninj,D,VLMC,VLMC
CELL.15,CELL.15,2,Injury_control_FP200000239BL_E3,15,3,VLMC,uninj,V,VLMC,VLMC
CELL.16,CELL.16,2,Injury_control_FP200000239BL_E3,16,3,CP,uninj,V,CP,CP
CELL.17,CELL.17,2,Injury_control_FP200000239BL_E3,17,3,VLMC,uninj,D,VLMC,VLMC
CELL.18,CELL.18,2,Injury_control_FP200000239BL_E3,18,8,VLMC,uninj,D,VLMC,VLMC
CELL.19,CELL.19,2,Injury_control_FP200000239BL_E3,19,8,VLMC,uninj,V,VLMC,VLMC
CELL.20,CELL.20,2,Injury_control_FP200000239BL_E3,20,3,VLMC,uninj,V,VLMC,VLMC
CELL.21,CELL.21,2,Injury_control_FP200000239BL_E3,21,3,VLMC,uninj,V,VLMC,VLMC
CELL.22,CELL.22,2,Injury_control_FP200000239BL_E3,22,3,VLMC,uninj,V,VLMC,VLMC
CELL.23,CELL.23,2,Injury_control_FP200000239BL_E3,23,3,VLMC,uninj,V,VLMC,VLMC
CELL.24,CELL.24,2,Injury_control_FP200000239BL_E3,24,3,VLMC,uninj,V,VLMC,VLMC
CELL.25,CELL.25,2,Injury_control_FP200000239BL_E3,25,3,CP,uninj,D,CP,CP
CELL.26,CELL.26,2,Injury_control_FP200000239BL_E3,26,8,VLMC,uninj,V,VLMC,VLMC
