,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.17879,CELL.17879,2,Injury_10DPI_rep1_SS200000147BL_B5,17879,3,4880.0,2576.0,uninj,V,NO,VLMC,VLMC
CELL.17922,CELL.17922,2,Injury_10DPI_rep1_SS200000147BL_B5,17922,3,4846.0,2585.0,uninj,V,NO,VLMC,VLMC
CELL.17927,CELL.17927,2,Injury_10DPI_rep1_SS200000147BL_B5,17927,5,5189.0,2591.0,uninj,D,NO,VLMC,VLMC
CELL.17937,CELL.17937,6,Injury_10DPI_rep1_SS200000147BL_B5,17937,5,5166.0,2589.0,uninj,D,NO,VLMC,VLMC
CELL.17952,CELL.17952,2,Injury_10DPI_rep1_SS200000147BL_B5,17952,5,5046.0,2591.0,uninj,V,NO,VLMC,VLMC
CELL.17966,CELL.17966,2,Injury_10DPI_rep1_SS200000147BL_B5,17966,3,5564.0,2604.0,uninj,D,NO,VLMC,VLMC
CELL.17976,CELL.17976,2,Injury_10DPI_rep1_SS200000147BL_B5,17976,3,5613.0,2608.0,uninj,D,NO,VLMC,VLMC
CELL.17987,CELL.17987,2,Injury_10DPI_rep1_SS200000147BL_B5,17987,3,4741.0,2608.0,uninj,V,NO,VLMC,VLMC
CELL.17988,CELL.17988,2,Injury_10DPI_rep1_SS200000147BL_B5,17988,5,5265.0,2612.0,uninj,D,NO,VLMC,VLMC
CELL.17993,CELL.17993,2,Injury_10DPI_rep1_SS200000147BL_B5,17993,3,4821.0,2603.0,uninj,V,NO,VLMC,VLMC
CELL.17994,CELL.17994,6,Injury_10DPI_rep1_SS200000147BL_B5,17994,2,6154.0,2604.0,uninj,D,NO,DIPC,TLNBL
CELL.17997,CELL.17997,2,Injury_10DPI_rep1_SS200000147BL_B5,17997,3,4856.0,2604.0,uninj,V,NO,VLMC,VLMC
CELL.18001,CELL.18001,2,Injury_10DPI_rep1_SS200000147BL_B5,18001,5,5162.0,2607.0,uninj,D,NO,VLMC,VLMC
CELL.18007,CELL.18007,2,Injury_10DPI_rep1_SS200000147BL_B5,18007,3,4674.0,2621.0,uninj,V,NO,VLMC,VLMC
