,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.1,CELL.1,5,Injury_20DPI_rep1_SS200000147BL_B4,1,7,21.0,8917.0,uninj,V,VLMC,VLMC
CELL.2,CELL.2,5,Injury_20DPI_rep1_SS200000147BL_B4,2,12,23.0,9335.0,uninj,V,VLMC,VLMC
CELL.3,CELL.3,5,Injury_20DPI_rep1_SS200000147BL_B4,3,7,39.0,8973.0,uninj,V,VLMC,VLMC
CELL.4,CELL.4,5,Injury_20DPI_rep1_SS200000147BL_B4,4,7,25.0,9371.0,uninj,V,VLMC,VLMC
CELL.5,CELL.5,5,Injury_20DPI_rep1_SS200000147BL_B4,5,7,42.0,9403.0,uninj,V,VLMC,VLMC
CELL.6,CELL.6,5,Injury_20DPI_rep1_SS200000147BL_B4,6,12,40.0,9296.0,uninj,V,VLMC,VLMC
CELL.7,CELL.7,5,Injury_20DPI_rep1_SS200000147BL_B4,7,12,45.0,9263.0,uninj,V,VLMC,VLMC
CELL.8,CELL.8,5,Injury_20DPI_rep1_SS200000147BL_B4,8,7,46.0,8885.0,uninj,V,VLMC,VLMC
CELL.9,CELL.9,5,Injury_20DPI_rep1_SS200000147BL_B4,9,7,49.0,9364.0,uninj,V,VLMC,VLMC
CELL.10,CELL.10,5,Injury_20DPI_rep1_SS200000147BL_B4,10,11,49.0,8916.0,uninj,V,VLMC,VLMC
CELL.11,CELL.11,5,Injury_20DPI_rep1_SS200000147BL_B4,11,7,49.0,8945.0,uninj,V,VLMC,VLMC
CELL.12,CELL.12,5,Injury_20DPI_rep1_SS200000147BL_B4,12,7,67.0,8786.0,uninj,V,VLMC,VLMC
CELL.13,CELL.13,5,Injury_20DPI_rep1_SS200000147BL_B4,13,12,56.0,9138.0,uninj,V,VLMC,VLMC
CELL.14,CELL.14,5,Injury_20DPI_rep1_SS200000147BL_B4,14,12,55.0,9011.0,uninj,V,VLMC,VLMC
CELL.15,CELL.15,5,Injury_20DPI_rep1_SS200000147BL_B4,15,7,58.0,9440.0,uninj,V,VLMC,VLMC
CELL.16,CELL.16,5,Injury_20DPI_rep1_SS200000147BL_B4,16,11,72.0,9555.0,uninj,V,VLMC,VLMC
CELL.17,CELL.17,5,Injury_20DPI_rep1_SS200000147BL_B4,17,12,72.0,8888.0,uninj,V,VLMC,VLMC
CELL.18,CELL.18,5,Injury_20DPI_rep1_SS200000147BL_B4,18,4,70.0,9179.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.19,CELL.19,5,Injury_20DPI_rep1_SS200000147BL_B4,19,7,68.0,8926.0,uninj,V,VLMC,VLMC
CELL.20,CELL.20,6,Injury_20DPI_rep1_SS200000147BL_B4,20,4,77.0,9108.0,uninj,V,Immature Neuron-Wound,RIPC4
CELL.21,CELL.21,5,Injury_20DPI_rep1_SS200000147BL_B4,21,12,84.0,9533.0,uninj,V,VLMC,VLMC
CELL.22,CELL.22,5,Injury_20DPI_rep1_SS200000147BL_B4,22,7,90.0,8744.0,uninj,V,VLMC,VLMC
CELL.24,CELL.24,5,Injury_20DPI_rep1_SS200000147BL_B4,24,7,99.0,9616.0,uninj,V,VLMC,VLMC
CELL.25,CELL.25,5,Injury_20DPI_rep1_SS200000147BL_B4,25,7,99.0,8768.0,uninj,V,VLMC,VLMC
CELL.26,CELL.26,5,Injury_20DPI_rep1_SS200000147BL_B4,26,7,103.0,8687.0,uninj,V,VLMC,VLMC
CELL.27,CELL.27,5,Injury_20DPI_rep1_SS200000147BL_B4,27,12,120.0,8634.0,uninj,V,VLMC,VLMC
CELL.28,CELL.28,5,Injury_20DPI_rep1_SS200000147BL_B4,28,12,120.0,9420.0,uninj,V,OLIGO,OLIGO
CELL.29,CELL.29,5,Injury_20DPI_rep1_SS200000147BL_B4,29,7,126.0,9673.0,uninj,V,VLMC,VLMC
CELL.30,CELL.30,5,Injury_20DPI_rep1_SS200000147BL_B4,30,7,138.0,9730.0,uninj,V,VLMC,VLMC
CELL.31,CELL.31,5,Injury_20DPI_rep1_SS200000147BL_B4,31,12,139.0,8652.0,uninj,V,VLMC,VLMC
CELL.33,CELL.33,5,Injury_20DPI_rep1_SS200000147BL_B4,33,11,164.0,9046.0,uninj,V,VLMC,VLMC
CELL.35,CELL.35,5,Injury_20DPI_rep1_SS200000147BL_B4,35,7,175.0,9797.0,uninj,V,VLMC,VLMC
CELL.37,CELL.37,5,Injury_20DPI_rep1_SS200000147BL_B4,37,7,203.0,9886.0,uninj,V,VLMC,VLMC
CELL.38,CELL.38,6,Injury_20DPI_rep1_SS200000147BL_B4,38,11,194.0,9555.0,uninj,V,VLMC,VLMC
CELL.40,CELL.40,5,Injury_20DPI_rep1_SS200000147BL_B4,40,12,212.0,8510.0,uninj,V,OLIGO,OLIGO
CELL.41,CELL.41,5,Injury_20DPI_rep1_SS200000147BL_B4,41,7,223.0,9929.0,uninj,V,VLMC,VLMC
CELL.43,CELL.43,5,Injury_20DPI_rep1_SS200000147BL_B4,43,7,234.0,8568.0,uninj,V,VLMC,VLMC
CELL.44,CELL.44,5,Injury_20DPI_rep1_SS200000147BL_B4,44,7,233.0,9901.0,uninj,V,VLMC,VLMC
CELL.45,CELL.45,5,Injury_20DPI_rep1_SS200000147BL_B4,45,7,254.0,9337.0,uninj,V,VLMC,VLMC
CELL.47,CELL.47,5,Injury_20DPI_rep1_SS200000147BL_B4,47,7,244.0,8499.0,uninj,V,VLMC,VLMC
CELL.49,CELL.49,5,Injury_20DPI_rep1_SS200000147BL_B4,49,7,253.0,8546.0,uninj,V,VLMC,VLMC
CELL.50,CELL.50,5,Injury_20DPI_rep1_SS200000147BL_B4,50,7,247.0,9783.0,uninj,V,VLMC,VLMC
CELL.51,CELL.51,5,Injury_20DPI_rep1_SS200000147BL_B4,51,7,257.0,9943.0,uninj,V,VLMC,VLMC
CELL.54,CELL.54,5,Injury_20DPI_rep1_SS200000147BL_B4,54,7,272.0,8523.0,uninj,V,VLMC,VLMC
CELL.56,CELL.56,5,Injury_20DPI_rep1_SS200000147BL_B4,56,12,280.0,10000.0,uninj,V,OLIGO,OLIGO
CELL.57,CELL.57,6,Injury_20DPI_rep1_SS200000147BL_B4,57,11,283.0,8725.0,uninj,V,VLMC,VLMC
CELL.59,CELL.59,6,Injury_20DPI_rep1_SS200000147BL_B4,59,7,284.0,9814.0,uninj,V,VLMC,VLMC
CELL.60,CELL.60,6,Injury_20DPI_rep1_SS200000147BL_B4,60,11,288.0,9773.0,uninj,V,VLMC,VLMC
CELL.61,CELL.61,5,Injury_20DPI_rep1_SS200000147BL_B4,61,11,295.0,8967.0,uninj,V,VLMC,VLMC
CELL.62,CELL.62,5,Injury_20DPI_rep1_SS200000147BL_B4,62,11,296.0,8484.0,uninj,V,VLMC,VLMC
CELL.64,CELL.64,6,Injury_20DPI_rep1_SS200000147BL_B4,64,12,308.0,8711.0,uninj,V,VLMC,VLMC
CELL.66,CELL.66,5,Injury_20DPI_rep1_SS200000147BL_B4,66,12,314.0,8445.0,uninj,V,VLMC,VLMC
CELL.67,CELL.67,5,Injury_20DPI_rep1_SS200000147BL_B4,67,7,324.0,6604.0,inj,V,VLMC,VLMC
CELL.68,CELL.68,5,Injury_20DPI_rep1_SS200000147BL_B4,68,11,320.0,10082.0,uninj,V,VLMC,VLMC
CELL.70,CELL.70,5,Injury_20DPI_rep1_SS200000147BL_B4,70,7,334.0,6678.0,inj,V,VLMC,VLMC
CELL.71,CELL.71,5,Injury_20DPI_rep1_SS200000147BL_B4,71,7,336.0,6640.0,inj,V,VLMC,VLMC
CELL.72,CELL.72,5,Injury_20DPI_rep1_SS200000147BL_B4,72,7,341.0,6824.0,inj,V,VLMC,VLMC
CELL.73,CELL.73,5,Injury_20DPI_rep1_SS200000147BL_B4,73,7,341.0,8862.0,uninj,V,VLMC,VLMC
CELL.74,CELL.74,5,Injury_20DPI_rep1_SS200000147BL_B4,74,12,341.0,10061.0,uninj,V,OLIGO,OLIGO
CELL.75,CELL.75,5,Injury_20DPI_rep1_SS200000147BL_B4,75,12,349.0,6758.0,inj,V,VLMC,VLMC
CELL.76,CELL.76,5,Injury_20DPI_rep1_SS200000147BL_B4,76,7,366.0,6871.0,inj,V,VLMC,VLMC
CELL.77,CELL.77,5,Injury_20DPI_rep1_SS200000147BL_B4,77,7,354.0,6335.0,inj,V,VLMC,VLMC
CELL.78,CELL.78,5,Injury_20DPI_rep1_SS200000147BL_B4,78,7,349.0,6583.0,inj,V,VLMC,VLMC
CELL.80,CELL.80,6,Injury_20DPI_rep1_SS200000147BL_B4,80,7,353.0,6306.0,inj,V,VLMC,VLMC
CELL.81,CELL.81,5,Injury_20DPI_rep1_SS200000147BL_B4,81,7,361.0,6435.0,inj,V,VLMC,VLMC
CELL.82,CELL.82,3,Injury_20DPI_rep1_SS200000147BL_B4,82,14,374.0,9475.0,uninj,V,SSTIN,SSTIN
CELL.83,CELL.83,5,Injury_20DPI_rep1_SS200000147BL_B4,83,7,380.0,10121.0,uninj,V,VLMC,VLMC
CELL.84,CELL.84,5,Injury_20DPI_rep1_SS200000147BL_B4,84,7,370.0,6473.0,inj,V,VLMC,VLMC
CELL.85,CELL.85,6,Injury_20DPI_rep1_SS200000147BL_B4,85,11,367.0,9559.0,uninj,V,VLMC,VLMC
CELL.86,CELL.86,5,Injury_20DPI_rep1_SS200000147BL_B4,86,7,370.0,6900.0,inj,V,VLMC,VLMC
CELL.87,CELL.87,5,Injury_20DPI_rep1_SS200000147BL_B4,87,7,370.0,6371.0,inj,V,VLMC,VLMC
CELL.88,CELL.88,5,Injury_20DPI_rep1_SS200000147BL_B4,88,7,374.0,10151.0,uninj,V,VLMC,VLMC
CELL.89,CELL.89,5,Injury_20DPI_rep1_SS200000147BL_B4,89,12,364.0,8315.0,uninj,V,VLMC,VLMC
CELL.90,CELL.90,5,Injury_20DPI_rep1_SS200000147BL_B4,90,12,379.0,6755.0,inj,V,VLMC,VLMC
CELL.91,CELL.91,5,Injury_20DPI_rep1_SS200000147BL_B4,91,7,375.0,6513.0,inj,V,VLMC,VLMC
CELL.92,CELL.92,5,Injury_20DPI_rep1_SS200000147BL_B4,92,12,381.0,6169.0,inj,V,VLMC,VLMC
CELL.93,CELL.93,6,Injury_20DPI_rep1_SS200000147BL_B4,93,14,387.0,9488.0,uninj,V,SSTIN,SSTIN
CELL.94,CELL.94,5,Injury_20DPI_rep1_SS200000147BL_B4,94,12,383.0,6223.0,inj,V,VLMC,VLMC
CELL.95,CELL.95,5,Injury_20DPI_rep1_SS200000147BL_B4,95,7,391.0,8252.0,uninj,V,VLMC,VLMC
CELL.96,CELL.96,6,Injury_20DPI_rep1_SS200000147BL_B4,96,11,392.0,8578.0,uninj,V,VLMC,VLMC
CELL.98,CELL.98,5,Injury_20DPI_rep1_SS200000147BL_B4,98,7,392.0,6911.0,inj,V,VLMC,VLMC
CELL.99,CELL.99,4,Injury_20DPI_rep1_SS200000147BL_B4,99,6,401.0,9873.0,uninj,V,OBNBL,OBNBL
CELL.100,CELL.100,5,Injury_20DPI_rep1_SS200000147BL_B4,100,11,396.0,6510.0,inj,V,VLMC,VLMC
CELL.101,CELL.101,5,Injury_20DPI_rep1_SS200000147BL_B4,101,12,405.0,6125.0,inj,V,VLMC,VLMC
CELL.103,CELL.103,5,Injury_20DPI_rep1_SS200000147BL_B4,103,7,401.0,10154.0,uninj,V,VLMC,VLMC
CELL.104,CELL.104,6,Injury_20DPI_rep1_SS200000147BL_B4,104,3,404.0,9582.0,uninj,V,CMPN,CMPN
CELL.106,CELL.106,3,Injury_20DPI_rep1_SS200000147BL_B4,106,14,416.0,9256.0,uninj,V,SSTIN,SSTIN
CELL.107,CELL.107,3,Injury_20DPI_rep1_SS200000147BL_B4,107,3,423.0,9296.0,uninj,V,SSTIN,SSTIN
CELL.108,CELL.108,3,Injury_20DPI_rep1_SS200000147BL_B4,108,14,412.0,9347.0,uninj,V,SSTIN,SSTIN
CELL.109,CELL.109,5,Injury_20DPI_rep1_SS200000147BL_B4,109,7,413.0,6268.0,inj,V,VLMC,VLMC
CELL.110,CELL.110,5,Injury_20DPI_rep1_SS200000147BL_B4,110,7,416.0,6942.0,inj,V,VLMC,VLMC
CELL.111,CELL.111,6,Injury_20DPI_rep1_SS200000147BL_B4,111,3,419.0,9422.0,uninj,V,SSTIN,SSTIN
CELL.112,CELL.112,3,Injury_20DPI_rep1_SS200000147BL_B4,112,14,423.0,9229.0,uninj,V,SSTIN,SSTIN
CELL.113,CELL.113,3,Injury_20DPI_rep1_SS200000147BL_B4,113,14,417.0,9477.0,uninj,V,SSTIN,SSTIN
CELL.114,CELL.114,5,Injury_20DPI_rep1_SS200000147BL_B4,114,12,421.0,6148.0,inj,V,VLMC,VLMC
CELL.116,CELL.116,5,Injury_20DPI_rep1_SS200000147BL_B4,116,7,415.0,10138.0,uninj,V,VLMC,VLMC
CELL.117,CELL.117,6,Injury_20DPI_rep1_SS200000147BL_B4,117,1,420.0,8587.0,uninj,V,DIPC,TLNBL
CELL.118,CELL.118,5,Injury_20DPI_rep1_SS200000147BL_B4,118,7,423.0,10162.0,uninj,V,VLMC,VLMC
CELL.119,CELL.119,5,Injury_20DPI_rep1_SS200000147BL_B4,119,7,422.0,6779.0,inj,V,VLMC,VLMC
CELL.120,CELL.120,5,Injury_20DPI_rep1_SS200000147BL_B4,120,11,434.0,6062.0,inj,V,VLMC,VLMC
CELL.121,CELL.121,5,Injury_20DPI_rep1_SS200000147BL_B4,121,7,440.0,8237.0,uninj,V,VLMC,VLMC
CELL.122,CELL.122,5,Injury_20DPI_rep1_SS200000147BL_B4,122,7,436.0,10206.0,uninj,V,VLMC,VLMC
CELL.123,CELL.123,5,Injury_20DPI_rep1_SS200000147BL_B4,123,12,433.0,6111.0,inj,V,VLMC,VLMC
CELL.124,CELL.124,3,Injury_20DPI_rep1_SS200000147BL_B4,124,3,446.0,9548.0,uninj,V,NPTXEX,NPTXEX
CELL.125,CELL.125,3,Injury_20DPI_rep1_SS200000147BL_B4,125,3,447.0,9135.0,uninj,V,SSTIN,SSTIN
CELL.126,CELL.126,3,Injury_20DPI_rep1_SS200000147BL_B4,126,14,451.0,9312.0,uninj,V,SSTIN,SSTIN
