,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,Annotation_Final,Annotation_0306
CELL.3,CELL.3,1,Injury_20DPI_rep3_SS200000147BL_B5,3,3,40.0,2348.0,uninj,V,VLMC,VLMC
CELL.4,CELL.4,1,Injury_20DPI_rep3_SS200000147BL_B5,4,3,45.0,2902.0,uninj,D,VLMC,VLMC
CELL.5,CELL.5,1,Injury_20DPI_rep3_SS200000147BL_B5,5,3,41.0,2410.0,uninj,V,VLMC,VLMC
CELL.6,CELL.6,1,Injury_20DPI_rep3_SS200000147BL_B5,6,3,38.0,2499.0,uninj,V,VLMC,VLMC
CELL.7,CELL.7,1,Injury_20DPI_rep3_SS200000147BL_B5,7,3,44.0,2285.0,uninj,V,VLMC,VLMC
CELL.8,CELL.8,1,Injury_20DPI_rep3_SS200000147BL_B5,8,3,49.0,2386.0,uninj,V,VLMC,VLMC
CELL.11,CELL.11,1,Injury_20DPI_rep3_SS200000147BL_B5,11,3,42.0,2801.0,uninj,D,VLMC,VLMC
CELL.12,CELL.12,1,Injury_20DPI_rep3_SS200000147BL_B5,12,3,45.0,2433.0,uninj,V,VLMC,VLMC
CELL.13,CELL.13,1,Injury_20DPI_rep3_SS200000147BL_B5,13,11,43.0,2628.0,uninj,D,VLMC,VLMC
CELL.14,CELL.14,1,Injury_20DPI_rep3_SS200000147BL_B5,14,3,54.0,2249.0,uninj,V,VLMC,VLMC
CELL.15,CELL.15,1,Injury_20DPI_rep3_SS200000147BL_B5,15,3,54.0,3099.0,uninj,D,VLMC,VLMC
CELL.16,CELL.16,1,Injury_20DPI_rep3_SS200000147BL_B5,16,3,56.0,2323.0,uninj,V,VLMC,VLMC
CELL.17,CELL.17,1,Injury_20DPI_rep3_SS200000147BL_B5,17,3,57.0,2221.0,uninj,V,VLMC,VLMC
CELL.18,CELL.18,1,Injury_20DPI_rep3_SS200000147BL_B5,18,3,58.0,2363.0,uninj,V,VLMC,VLMC
CELL.19,CELL.19,1,Injury_20DPI_rep3_SS200000147BL_B5,19,3,63.0,2200.0,uninj,V,VLMC,VLMC
CELL.21,CELL.21,1,Injury_20DPI_rep3_SS200000147BL_B5,21,3,65.0,2272.0,uninj,V,VLMC,VLMC
CELL.22,CELL.22,1,Injury_20DPI_rep3_SS200000147BL_B5,22,3,72.0,2178.0,uninj,V,VLMC,VLMC
CELL.23,CELL.23,1,Injury_20DPI_rep3_SS200000147BL_B5,23,3,68.0,2397.0,uninj,V,VLMC,VLMC
CELL.24,CELL.24,1,Injury_20DPI_rep3_SS200000147BL_B5,24,3,67.0,2719.0,uninj,D,VLMC,VLMC
CELL.26,CELL.26,1,Injury_20DPI_rep3_SS200000147BL_B5,26,3,69.0,2296.0,uninj,V,VLMC,VLMC
CELL.27,CELL.27,1,Injury_20DPI_rep3_SS200000147BL_B5,27,3,75.0,2151.0,uninj,V,VLMC,VLMC
CELL.28,CELL.28,1,Injury_20DPI_rep3_SS200000147BL_B5,28,3,95.0,2117.0,uninj,V,VLMC,VLMC
CELL.29,CELL.29,1,Injury_20DPI_rep3_SS200000147BL_B5,29,11,80.0,3258.0,uninj,D,VLMC,VLMC
CELL.30,CELL.30,1,Injury_20DPI_rep3_SS200000147BL_B5,30,11,80.0,3058.0,uninj,D,VLMC,VLMC
CELL.32,CELL.32,1,Injury_20DPI_rep3_SS200000147BL_B5,32,3,87.0,2260.0,uninj,V,VLMC,VLMC
CELL.33,CELL.33,1,Injury_20DPI_rep3_SS200000147BL_B5,33,11,93.0,3238.0,uninj,D,VLMC,VLMC
