,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,y_center,x_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.8,CELL.8,0,Injury_2DPI_rep1_SS200000147BL_D5,8,2,4878.0,3162.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.9,CELL.9,0,Injury_2DPI_rep1_SS200000147BL_D5,9,2,4882.0,3194.0,inj,V,NO,VLMC,VLMC
CELL.10,CELL.10,0,Injury_2DPI_rep1_SS200000147BL_D5,10,9,4888.0,3292.0,inj,V,NO,VLMC,VLMC
CELL.11,CELL.11,0,Injury_2DPI_rep1_SS200000147BL_D5,11,9,4895.0,2777.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.12,CELL.12,0,Injury_2DPI_rep1_SS200000147BL_D5,12,2,4891.0,3135.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.13,CELL.13,0,Injury_2DPI_rep1_SS200000147BL_D5,13,9,4887.0,3229.0,inj,V,NO,VLMC,VLMC
CELL.14,CELL.14,0,Injury_2DPI_rep1_SS200000147BL_D5,14,9,4891.0,2816.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.15,CELL.15,0,Injury_2DPI_rep1_SS200000147BL_D5,15,9,4896.0,2715.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.16,CELL.16,0,Injury_2DPI_rep1_SS200000147BL_D5,16,9,4902.0,2679.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.17,CELL.17,0,Injury_2DPI_rep1_SS200000147BL_D5,17,2,4902.0,3032.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.18,CELL.18,0,Injury_2DPI_rep1_SS200000147BL_D5,18,2,4901.0,3060.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.19,CELL.19,0,Injury_2DPI_rep1_SS200000147BL_D5,19,9,4910.0,2649.0,inj,D,inj_D_LP,VLMC,VLMC
CELL.20,CELL.20,0,Injury_2DPI_rep1_SS200000147BL_D5,20,2,4909.0,3259.0,inj,V,NO,VLMC,VLMC
CELL.21,CELL.21,0,Injury_2DPI_rep1_SS200000147BL_D5,21,2,4913.0,3362.0,inj,V,NO,VLMC,VLMC
CELL.22,CELL.22,0,Injury_2DPI_rep1_SS200000147BL_D5,22,9,4911.0,2803.0,inj,D,inj_D_LP,VLMC,VLMC
