,CellID,spatial_leiden_e30_s8,Batch,cell_id,seurat_clusters,x_center,y_center,inj_uninj,D_V,inj_M_L,Annotation_Final,Annotation_0306
CELL.450,CELL.450,4,Injury_5DPI_rep2_SS200000147BL_D2,450,12,2523.0,12151.0,uninj,V,NO,VLMC,VLMC
CELL.452,CELL.452,4,Injury_5DPI_rep2_SS200000147BL_D2,452,12,2532.0,11767.0,uninj,V,NO,VLMC,VLMC
CELL.453,CELL.453,4,Injury_5DPI_rep2_SS200000147BL_D2,453,12,2528.0,11978.0,uninj,V,NO,VLMC,VLMC
CELL.454,CELL.454,4,Injury_5DPI_rep2_SS200000147BL_D2,454,12,2538.0,11928.0,uninj,V,NO,VLMC,VLMC
CELL.455,CELL.455,4,Injury_5DPI_rep2_SS200000147BL_D2,455,11,2550.0,11716.0,uninj,V,NO,RIPC2,REAEGC
CELL.458,CELL.458,4,Injury_5DPI_rep2_SS200000147BL_D2,458,1,2554.0,11804.0,uninj,V,NO,MPEX,MPEX
CELL.459,CELL.459,4,Injury_5DPI_rep2_SS200000147BL_D2,459,7,2562.0,12381.0,uninj,V,NO,VLMC,VLMC
CELL.461,CELL.461,4,Injury_5DPI_rep2_SS200000147BL_D2,461,12,2570.0,11497.0,uninj,V,NO,VLMC,VLMC
CELL.462,CELL.462,4,Injury_5DPI_rep2_SS200000147BL_D2,462,12,2566.0,11637.0,uninj,V,NO,VLMC,VLMC
CELL.463,CELL.463,4,Injury_5DPI_rep2_SS200000147BL_D2,463,7,2570.0,11540.0,uninj,V,NO,VLMC,VLMC
CELL.464,CELL.464,4,Injury_5DPI_rep2_SS200000147BL_D2,464,7,2586.0,12409.0,uninj,V,NO,VLMC,VLMC
CELL.465,CELL.465,4,Injury_5DPI_rep2_SS200000147BL_D2,465,7,2597.0,12400.0,uninj,V,NO,VLMC,VLMC
CELL.466,CELL.466,4,Injury_5DPI_rep2_SS200000147BL_D2,466,7,2610.0,11401.0,uninj,V,NO,VLMC,VLMC
CELL.467,CELL.467,4,Injury_5DPI_rep2_SS200000147BL_D2,467,7,2613.0,12436.0,uninj,V,NO,VLMC,VLMC
CELL.470,CELL.470,4,Injury_5DPI_rep2_SS200000147BL_D2,470,12,2645.0,12557.0,uninj,V,NO,VLMC,VLMC
CELL.472,CELL.472,4,Injury_5DPI_rep2_SS200000147BL_D2,472,7,2669.0,11280.0,uninj,V,NO,VLMC,VLMC
CELL.475,CELL.475,4,Injury_5DPI_rep2_SS200000147BL_D2,475,12,2678.0,12607.0,uninj,V,NO,VLMC,VLMC
CELL.477,CELL.477,4,Injury_5DPI_rep2_SS200000147BL_D2,477,12,2687.0,11293.0,uninj,V,NO,VLMC,VLMC
CELL.478,CELL.478,4,Injury_5DPI_rep2_SS200000147BL_D2,478,12,2699.0,11272.0,uninj,V,NO,VLMC,VLMC
CELL.480,CELL.480,4,Injury_5DPI_rep2_SS200000147BL_D2,480,12,2709.0,11285.0,uninj,V,NO,VLMC,VLMC
CELL.483,CELL.483,4,Injury_5DPI_rep2_SS200000147BL_D2,483,7,2727.0,11556.0,uninj,V,NO,VLMC,VLMC
CELL.484,CELL.484,4,Injury_5DPI_rep2_SS200000147BL_D2,484,12,2716.0,12611.0,uninj,V,NO,VLMC,VLMC
CELL.487,CELL.487,4,Injury_5DPI_rep2_SS200000147BL_D2,487,7,2748.0,11130.0,uninj,V,NO,VLMC,VLMC
CELL.488,CELL.488,5,Injury_5DPI_rep2_SS200000147BL_D2,488,2,2758.0,11888.0,uninj,V,NO,CMPN,CMPN
CELL.490,CELL.490,4,Injury_5DPI_rep2_SS200000147BL_D2,490,7,2757.0,11337.0,uninj,V,NO,VLMC,VLMC
CELL.492,CELL.492,4,Injury_5DPI_rep2_SS200000147BL_D2,492,4,2754.0,12122.0,uninj,V,NO,MPEX,MPEX
CELL.493,CELL.493,4,Injury_5DPI_rep2_SS200000147BL_D2,493,12,2756.0,12705.0,uninj,V,NO,VLMC,VLMC
CELL.494,CELL.494,4,Injury_5DPI_rep2_SS200000147BL_D2,494,7,2767.0,11105.0,uninj,V,NO,VLMC,VLMC
CELL.496,CELL.496,5,Injury_5DPI_rep2_SS200000147BL_D2,496,12,2768.0,11865.0,uninj,V,NO,VLMC,VLMC
CELL.497,CELL.497,4,Injury_5DPI_rep2_SS200000147BL_D2,497,7,2769.0,11147.0,uninj,V,NO,VLMC,VLMC
CELL.498,CELL.498,4,Injury_5DPI_rep2_SS200000147BL_D2,498,7,2770.0,11558.0,uninj,V,NO,VLMC,VLMC
CELL.499,CELL.499,4,Injury_5DPI_rep2_SS200000147BL_D2,499,12,2776.0,12691.0,uninj,V,NO,VLMC,VLMC
CELL.503,CELL.503,4,Injury_5DPI_rep2_SS200000147BL_D2,503,12,2815.0,11046.0,uninj,V,NO,VLMC,VLMC
CELL.504,CELL.504,4,Injury_5DPI_rep2_SS200000147BL_D2,504,7,2825.0,10998.0,uninj,V,NO,VLMC,VLMC
CELL.507,CELL.507,4,Injury_5DPI_rep2_SS200000147BL_D2,507,4,2817.0,12000.0,uninj,V,NO,VLMC,VLMC
CELL.510,CELL.510,4,Injury_5DPI_rep2_SS200000147BL_D2,510,12,2832.0,12476.0,uninj,V,NO,VLMC,VLMC
CELL.512,CELL.512,5,Injury_5DPI_rep2_SS200000147BL_D2,512,2,2841.0,12122.0,uninj,V,NO,CMPN,CMPN
CELL.514,CELL.514,4,Injury_5DPI_rep2_SS200000147BL_D2,514,12,2839.0,11020.0,uninj,V,NO,VLMC,VLMC
CELL.516,CELL.516,3,Injury_5DPI_rep2_SS200000147BL_D2,516,2,2851.0,11910.0,uninj,V,NO,CMPN,CMPN
CELL.517,CELL.517,4,Injury_5DPI_rep2_SS200000147BL_D2,517,4,2851.0,11456.0,uninj,V,NO,MPEX,MPEX
CELL.518,CELL.518,4,Injury_5DPI_rep2_SS200000147BL_D2,518,7,2849.0,10991.0,uninj,V,NO,VLMC,VLMC
CELL.519,CELL.519,5,Injury_5DPI_rep2_SS200000147BL_D2,519,2,2857.0,11810.0,uninj,V,NO,CMPN,CMPN
