ID	X	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneName
mmu01521	mmu01521	EGFR tyrosine kinase inhibitor resistance	3/53	79/8983	0.0111868258555811	0.0111868258555811	0.0861478556191563	26362/18176/13684	3	Axl/Nras/Eif4e
mmu03015	mmu03015	mRNA surveillance pathway	1/53	103/8983	0.458277073235104	0.458277073235104	0.485892549044085	225363	1	Etf1
mmu04014	mmu04014	Ras signaling pathway	2/53	235/8983	0.405645614614836	0.405645614614836	0.476907622975933	18176/66922	2	Nras/Rras2
mmu04066	mmu04066	HIF-1 signaling pathway	4/53	114/8983	0.00446527095323005	0.00446527095323005	0.050256895748905	22041/21857/170768/13684	4	Trf/Timp1/Pfkfb3/Eif4e
mmu04140	mmu04140	Autophagy - animal	3/53	142/8983	0.0510771362936165	0.0510771362936165	0.260260344341941	18176/13039/66922	3	Nras/Ctsl/Rras2
mmu04150	mmu04150	mTOR signaling pathway	2/53	157/8983	0.236805104131099	0.236805104131099	0.412480068599282	18176/13684	2	Nras/Eif4e
mmu04151	mmu04151	PI3K-Akt signaling pathway	4/53	359/8983	0.160781220791248	0.160781220791248	0.366163418550294	21923/18176/17210/13684	4	Tnc/Nras/Mcl1/Eif4e
mmu04152	mmu04152	AMPK signaling pathway	1/53	126/8983	0.528038585032248	0.528038585032248	0.536530433621948	170768	1	Pfkfb3
mmu04210	mmu04210	Apoptosis	6/53	136/8983	0.00013800080358935	0.00013800080358935	0.00504792413129464	18176/13039/16476/11465/17210/22143	6	Nras/Ctsl/Jun/Actg1/Mcl1/Tuba1b
mmu04211	mmu04211	Longevity regulating pathway	2/53	90/8983	0.0985594842228147	0.0985594842228147	0.306825717961282	18176/13684	2	Nras/Eif4e
mmu04360	mmu04360	Axon guidance	3/53	181/8983	0.090780369729258	0.090780369729258	0.306825717961282	13841/18176/67268	3	Epha7/Nras/Myl12a
mmu04370	mmu04370	VEGF signaling pathway	1/53	58/8983	0.29129240582326	0.29129240582326	0.448638719218095	18176	1	Nras
mmu04371	mmu04371	Apelin signaling pathway	2/53	137/8983	0.193431278230421	0.193431278230421	0.375714358132334	18176/66922	2	Nras/Rras2
mmu04512	mmu04512	ECM-receptor interaction	2/53	88/8983	0.094895171765247	0.094895171765247	0.306825717961282	21923/20971	2	Tnc/Sdc4
mmu04530	mmu04530	Tight junction	8/53	167/8983	5.24709156314009e-06	5.24709156314009e-06	0.00076773234450155	12394/17698/12741/16476/11465/22143/67268/76709	8	Runx1/Msn/Cldn5/Jun/Actg1/Tuba1b/Myl12a/Arpc2
mmu04810	mmu04810	Regulation of actin cytoskeleton	8/53	220/8983	3.90864243164945e-05	3.90864243164945e-05	0.0019063203438571	19241/17698/18176/11465/66922/18643/67268/76709	8	Tmsb4x/Msn/Nras/Actg1/Rras2/Pfn1/Myl12a/Arpc2
mmu04926	mmu04926	Relaxin signaling pathway	2/53	129/8983	0.176405587061751	0.176405587061751	0.366163418550294	18176/16476	2	Nras/Jun
mmu05235	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	2/53	88/8983	0.094895171765247	0.094895171765247	0.306825717961282	18176/16476	2	Nras/Jun
