AMEX60DD000711	RPH3A
AMEX60DD001512	CAMK2N2
AMEX60DD001559	CLDN11
AMEX60DD001640	SOX2
AMEX60DD001858	KCNAB1
AMEX60DD001889	P2RY1
AMEX60DD001970	ZIC1
AMEX60DD002447	VAMP2
AMEX60DD002483	UNC5D
AMEX60DD002624	NGEF
AMEX60DD002799	FGF17
AMEX60DD002950	SFRP1
AMEX60DD002984	NEFM
AMEX60DD003057	NPPC4
AMEX60DD003066	ECEL1
AMEX60DD003175	SST
AMEX60DD003380	CARTPT
AMEX60DD003452	SV2B
AMEX60DD003543	MAP2K1
AMEX60DD003720	SCG3
AMEX60DD003796	NMB
AMEX60DD003825	ISLR2
AMEX60DD003990	CPLX3
AMEX60DD004221	MEGF11
AMEX60DD004826	DKK3
AMEX60DD004905	PAX6
AMEX60DD004989	SLC17A6
AMEX60DD004997	NELL1
AMEX60DD005040	CCND1
AMEX60DD005267	CHRM4
AMEX60DD005352	ANXA2
AMEX60DD005903	CNFN
AMEX60DD006292	FOXP2
AMEX60DD006353	ATP2B1
AMEX60DD006361	NELL2
AMEX60DD006403	SLC26A5
AMEX60DD006490	WNT7B
AMEX60DD006621	CD9
AMEX60DD006666	LMO3
AMEX60DD006706	IAPP
AMEX60DD007022	PTN
AMEX60DD007096	CTSV
AMEX60DD007349	RTN4RL2
AMEX60DD007586	LUM
AMEX60DD007589	DCN
AMEX60DD007681	NTS
AMEX60DD008266	SNRPF
AMEX60DD008501	NDRG2
AMEX60DD008635	GPR37L1
AMEX60DD008688	CDKN1A
AMEX60DD008851	SYT6
AMEX60DD008854	OLFML3
AMEX60DD008964	CD34
AMEX60DD009487	CPNE6
AMEX60DD009756	RPRML
AMEX60DD009856	C1QL1
AMEX60DD009861	GFAP
AMEX60DD009927	PYY
AMEX60DD009937	COL1A1
AMEX60DD010070	CNP
AMEX60DD010297	NEUROD2
AMEX60DD010300	PPP1R1B[nr]|DARPP32[hs]
AMEX60DD010724	CLIC1
