ID	X	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000041	GO:0000041	transition metal ion transport	4/85	106/23328	0.000614643532170882	0.000614643532170882	0.0190139565974912	Trf/Hpx/B2m/Hephl1	4
GO:0001843	GO:0001843	neural tube closure	4/85	111/23328	0.000730862507313755	0.000730862507313755	0.0204588847227125	Sfrp5/Sdc4/Pfn1/Cecr2	4
GO:0002683	GO:0002683	negative regulation of immune system process	8/85	462/23328	0.000282640042805163	0.000282640042805163	0.0119881380384852	Cbfb/Ccn3/Gpnmb/Axl/Runx1/Sdc4/Lgals9/Psma1	8
GO:0006457	GO:0006457	protein folding	5/85	155/23328	0.000259568694149839	0.000259568694149839	0.0116917348143129	Clu/B2m/Hspa8/Fkbp1b/Cct4	5
GO:0006826	GO:0006826	iron ion transport	4/85	55/23328	4.85871296856724e-05	4.85871296856724e-05	0.00554591183971337	Trf/Hpx/B2m/Hephl1	4
GO:0007162	GO:0007162	negative regulation of cell adhesion	7/85	290/23328	9.20612930924571e-05	9.20612930924571e-05	0.00577226414355452	Cbfb/Gpnmb/Runx1/Tnc/Sdc4/Lgals9/Adam8	7
GO:0009611	GO:0009611	response to wounding	9/85	492/23328	7.63782720779716e-05	7.63782720779716e-05	0.00554591183971337	Anxa5/Timp1/Axl/Anxa2/Tnc/Sdc4/Jun/Actg1/Fkbp1b	9
GO:0010499	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	3/85	22/23328	6.83853425203792e-05	6.83853425203792e-05	0.00554591183971337	Psma1/Psma6/Psma5	3
GO:0030099	GO:0030099	myeloid cell differentiation	8/85	414/23328	0.000134336880211539	0.000134336880211539	0.00728626833408011	Trf/Cbfb/Runx1/Anxa2/Jun/B2m/Junb/Adam8	8
GO:0035148	GO:0035148	tube formation	5/85	177/23328	0.000477395099583843	0.000477395099583843	0.0176526663004012	Tgm2/Sfrp5/Sdc4/Pfn1/Cecr2	5
GO:0043523	GO:0043523	regulation of neuron apoptotic process	6/85	270/23328	0.000462963379738678	0.000462963379738678	0.0175695243834346	Epha7/Crlf1/Axl/Jun/Mcl1/Adam8	6
GO:0044403	GO:0044403	symbiotic process	8/85	374/23328	6.65254358680991e-05	6.65254358680991e-05	0.00554591183971337	Axl/Anxa2/Ptbp1/Lamp3/Jun/Etf1/Pfn1/Hspa8	8
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	5/85	117/23328	6.93664664929242e-05	6.93664664929242e-05	0.00554591183971337	Cbfb/Axl/Runx1/Lgals9/Adam8	5
GO:0048260	GO:0048260	positive regulation of receptor-mediated endocytosis	4/85	60/23328	6.8513618777885e-05	6.8513618777885e-05	0.00554591183971337	Trf/Anxa2/Clu/B2m	4
GO:0048771	GO:0048771	tissue remodeling	6/85	196/23328	8.21276715194887e-05	8.21276715194887e-05	0.00554591183971337	Trf/Tgm2/Timp1/Gpnmb/Axl/Adam8	6
GO:0050866	GO:0050866	negative regulation of cell activation	6/85	210/23328	0.000119933936497547	0.000119933936497547	0.00691829444217429	Cbfb/Gpnmb/Axl/Runx1/Sdc4/Lgals9	6
GO:0071706	GO:0071706	tumor necrosis factor superfamily cytokine production	5/85	128/23328	0.000106155809655419	0.000106155809655419	0.0063786604924528	Gpnmb/Axl/Clu/Lgals9/Adam8	5
GO:0071803	GO:0071803	positive regulation of podosome assembly	3/85	14/23328	1.65081132331743e-05	1.65081132331743e-05	0.00554591183971337	Msn/Palld/Arpc2	3
GO:1901214	GO:1901214	regulation of neuron death	9/85	377/23328	9.54068509434564e-06	9.54068509434564e-06	0.00554591183971337	Epha7/Crlf1/Gpnmb/Axl/Clu/Jun/Rras2/Mcl1/Adam8	9
GO:1902903	GO:1902903	regulation of supramolecular fiber organization	7/85	370/23328	0.000407586729918959	0.000407586729918959	0.0158860261732283	Tmsb4x/Clu/Sdc4/Actg1/Pfn1/Hspa8/Arpc2	7
GO:1903555	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	5/85	122/23328	8.46055163868681e-05	8.46055163868681e-05	0.00554591183971337	Gpnmb/Axl/Clu/Lgals9/Adam8	5
GO:2000401	GO:2000401	regulation of lymphocyte migration	4/85	60/23328	6.8513618777885e-05	6.8513618777885e-05	0.00554591183971337	Ecm1/Msn/Lgals9/Adam8	4
